Rank,Team,2025,Last 3,Last 1,Home,Away
1,LA Clippers,22.9%,25.4%,26.2%,22.0%,23.8%
2,Orlando,22.9%,20.2%,9.4%,22.5%,23.4%
3,Sacramento,23.2%,21.7%,25.6%,24.1%,22.2%
4,Milwaukee,23.3%,17.1%,18.4%,23.8%,22.9%
5,Chicago,23.4%,18.9%,22.5%,23.7%,23.1%
6,Houston,23.8%,28.3%,7.3%,23.5%,24.1%
7,Detroit,24.0%,28.0%,30.2%,25.3%,22.7%
8,Atlanta,24.1%,26.8%,28.3%,23.0%,25.2%
9,Miami,24.2%,24.5%,21.1%,23.6%,24.7%
10,Boston,24.4%,32.5%,35.7%,24.6%,24.2%
11,Cleveland,24.8%,14.5%,13.9%,23.8%,25.8%
12,Brooklyn,25.0%,20.5%,21.7%,25.3%,24.6%
13,Golden State,25.1%,26.3%,21.4%,25.7%,24.6%
14,Memphis,25.2%,27.4%,22.6%,24.9%,25.5%
15,Denver,25.2%,22.1%,31.9%,24.4%,26.0%
16,Minnesota,25.2%,25.2%,18.4%,25.8%,24.7%
17,New York,25.4%,17.0%,17.6%,25.3%,25.5%
18,Charlotte,25.5%,28.1%,31.3%,25.2%,25.9%
19,Okla City,25.6%,31.3%,30.8%,26.7%,24.6%
20,Indiana,25.7%,26.5%,28.3%,25.4%,26.0%
21,LA Lakers,25.8%,33.3%,38.3%,25.5%,26.1%
22,Utah,25.9%,24.8%,35.4%,25.9%,25.8%
23,Phoenix,25.9%,19.3%,26.3%,25.4%,26.5%
24,Toronto,26.1%,21.3%,23.1%,27.1%,25.0%
25,San Antonio,27.0%,27.3%,22.6%,25.8%,28.2%
26,Dallas,27.1%,36.2%,35.6%,27.1%,27.1%
27,New Orleans,27.3%,27.8%,32.1%,28.2%,26.4%
28,Portland,27.5%,27.1%,31.0%,26.7%,28.3%
29,Washington,28.1%,27.8%,19.6%,28.6%,27.5%
30,Philadelphia,28.2%,30.3%,28.3%,27.7%,28.7%
