Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,6.0%,9.2%,5.5%,5.3%,6.7%
2,Boston,6.2%,5.3%,6.5%,6.2%,6.3%
3,New York,6.3%,8.9%,8.7%,6.5%,6.1%
4,Indiana,6.6%,9.7%,13.0%,6.5%,6.8%
5,Milwaukee,6.6%,6.2%,8.2%,7.0%,6.2%
6,Cleveland,6.6%,5.6%,6.8%,7.0%,6.2%
7,Golden State,6.6%,6.9%,9.2%,7.0%,6.3%
8,Philadelphia,6.7%,7.7%,8.4%,6.6%,6.8%
9,Houston,6.8%,6.7%,5.7%,7.0%,6.7%
10,Chicago,7.0%,6.8%,9.3%,7.0%,6.9%
11,Orlando,7.0%,6.5%,4.5%,7.5%,6.5%
12,Sacramento,7.0%,6.6%,8.0%,7.2%,6.7%
13,Miami,7.0%,10.1%,12.9%,6.8%,7.2%
14,San Antonio,7.1%,7.7%,7.1%,7.2%,7.1%
15,Dallas,7.2%,8.1%,7.2%,6.6%,7.6%
16,Brooklyn,7.2%,7.8%,9.5%,7.5%,7.0%
17,Memphis,7.4%,9.1%,11.2%,7.4%,7.3%
18,LA Lakers,7.4%,8.1%,7.5%,7.4%,7.4%
19,Minnesota,7.5%,9.5%,12.3%,7.7%,7.3%
20,Denver,7.7%,9.7%,13.6%,7.5%,7.8%
21,Phoenix,7.7%,7.3%,6.0%,7.7%,7.6%
22,Atlanta,7.7%,6.3%,3.4%,8.0%,7.4%
23,Charlotte,7.7%,8.7%,10.8%,7.4%,8.0%
24,Detroit,7.7%,6.5%,5.4%,7.7%,7.7%
25,New Orleans,7.8%,9.2%,6.9%,7.9%,7.8%
26,LA Clippers,7.9%,7.6%,10.3%,7.3%,8.4%
27,Toronto,7.9%,6.8%,9.5%,8.1%,7.7%
28,Washington,7.9%,7.6%,7.3%,8.3%,7.5%
29,Portland,8.2%,10.2%,7.4%,8.3%,8.0%
30,Utah,8.4%,9.1%,8.2%,8.5%,8.3%
