PLAYER_ID,PLAYER_NAME,OPPONENT_ABBREV,PTS,REB,AST,STL,BLK,FG3M,TOV,PRA,PR,PA,RA,FANTASY_PTS,MIN,GAMES_PLAYED
201142,Kevin Durant,ORL,35.0,5.0,6.0,0.0,1.0,2.0,5.0,46.0,40.0,41.0,11.0,48.0,45.0,1
201142,Kevin Durant,POR,30.0,5.0,3.0,1.0,0.0,3.0,3.0,38.0,35.0,33.0,8.0,40.5,36.0,1
201142,Kevin Durant,SAS,24.0,1.0,2.0,1.0,0.0,1.0,8.0,27.0,25.0,26.0,3.0,23.2,37.0,1
201142,Kevin Durant,TOR,31.0,5.0,1.0,0.0,3.0,4.0,2.0,37.0,36.0,32.0,6.0,45.5,37.0,1
201142,Kevin Durant,WAS,23.0,5.0,4.0,2.0,0.0,2.0,1.0,32.0,28.0,27.0,9.0,40.0,31.0,1
201143,Al Horford,DEN,13.0,3.0,2.0,1.0,1.0,3.0,2.0,18.0,16.0,15.0,5.0,23.6,29.0,1
201143,Al Horford,IND,8.0,5.0,1.0,0.0,1.5,2.0,1.5,14.0,13.0,9.0,6.0,18.5,16.5,2
201143,Al Horford,LAC,2.0,4.0,0.0,1.0,0.0,0.0,1.0,6.0,6.0,2.0,4.0,8.8,20.0,1
201143,Al Horford,LAL,5.0,5.0,1.0,0.0,0.0,1.0,2.0,11.0,10.0,6.0,6.0,10.5,20.0,1
201143,Al Horford,MIL,3.0,2.0,2.0,0.0,2.0,1.0,2.0,7.0,5.0,5.0,4.0,12.4,20.0,1
201143,Al Horford,NOP,6.0,2.0,6.0,2.0,0.0,2.0,1.0,14.0,8.0,12.0,8.0,22.4,20.0,1
201143,Al Horford,ORL,9.0,6.0,1.0,2.0,1.0,1.0,2.0,16.0,15.0,10.0,7.0,24.7,27.0,1
201143,Al Horford,POR,7.0,6.0,3.0,2.0,1.0,1.0,1.0,16.0,13.0,10.0,9.0,26.7,18.0,1
201143,Al Horford,SAC,0.0,7.0,2.0,2.0,0.0,0.0,1.0,9.0,7.0,2.0,9.0,16.4,27.0,1
201143,Al Horford,SAS,4.5,3.0,1.5,1.0,2.0,1.5,0.5,9.0,7.5,6.0,4.5,18.85,23.5,2
