OPPONENT_ABBREV,Primary_Pos,DVP_PTS,DVP_REB,DVP_AST,DVP_FG3M,DVP_PRA,DVP_PR,DVP_PA,DVP_RA,DVP_STL,DVP_BLK,DVP_TOV
TOR,PF,15.68,7.12,2.88,1.48,25.69,17.0,14.02,7.28,1.07,0.81,2.22
TOR,PG,19.37,4.22,5.27,2.51,28.86,14.54,15.42,6.5,1.93,0.68,2.22
TOR,SF,15.19,5.38,3.54,1.54,24.11,15.03,13.43,5.93,1.06,0.94,2.04
TOR,SG,14.81,4.58,3.61,2.03,23.01,12.32,12.15,5.15,1.55,0.27,2.31
UTA,C,16.22,9.52,2.65,1.46,28.4,16.06,11.25,7.69,0.8,1.57,1.44
UTA,PF,16.32,5.39,3.94,1.73,25.65,14.09,13.0,5.85,1.36,0.83,1.89
UTA,PG,19.79,4.8,6.71,2.71,31.29,17.37,18.73,7.77,1.23,0.36,2.52
UTA,SF,16.29,5.7,4.34,1.85,26.32,16.7,15.65,8.0,1.15,0.33,1.99
UTA,SG,17.94,4.33,4.19,3.29,26.46,15.79,15.66,5.83,1.93,0.58,2.55
WAS,C,19.97,13.24,3.24,1.35,36.45,17.79,12.79,8.63,1.4,1.9,1.57
WAS,PF,21.97,9.25,2.63,2.5,33.85,19.0,15.03,7.83,1.64,0.98,1.35
WAS,PG,19.0,4.76,7.53,2.68,31.3,14.63,16.06,7.26,1.89,0.74,1.49
WAS,SF,18.39,6.72,4.12,2.05,29.24,17.17,15.59,7.03,1.31,0.48,1.6
WAS,SG,16.18,4.37,3.87,2.4,24.43,12.62,12.0,5.16,1.57,0.53,1.35
