CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
203999,Nikola Jokić,1610612743,DEN,C,30.0,17,17,1.0,166,321,0.517,0.484,0.033
1630596,Evan Mobley,1610612739,CLE,C,24.0,18,18,1.0,148,316,0.468,0.497,-0.029
202696,Nikola Vučević,1610612741,CHI,C,35.0,16,16,1.0,144,297,0.485,0.499,-0.014
1642270,Donovan Clingan,1610612757,POR,C,21.0,18,18,1.0,127,296,0.429,0.504,-0.075
1642259,Alex Sarr,1610612764,WAS,C,20.0,15,15,1.0,147,296,0.497,0.498,-0.001
1629023,P.J. Washington,1610612742,DAL,F,27.0,18,18,1.0,119,284,0.419,0.476,-0.057
1627826,Ivica Zubac,1610612746,LAC,C,28.0,18,18,1.0,135,284,0.475,0.501,-0.026
1642843,Cooper Flagg,1610612742,DAL,F,18.0,18,18,1.0,134,284,0.472,0.465,0.007
203497,Rudy Gobert,1610612750,MIN,C,33.0,17,17,1.0,122,282,0.433,0.49,-0.057
1631170,Jaime Jaquez Jr.,1610612748,MIA,G,24.0,18,18,1.0,108,270,0.4,0.461,-0.061
1630578,Alperen Sengun,1610612745,HOU,C,23.0,15,15,1.0,124,266,0.466,0.489,-0.023
1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,18,18,1.0,134,263,0.51,0.464,0.046
1630532,Franz Wagner,1610612753,ORL,F,24.0,19,19,1.0,117,258,0.453,0.478,-0.024
1630183,Jaden McDaniels,1610612750,MIN,F,25.0,16,16,1.0,119,256,0.465,0.473,-0.009
1642273,Kyshawn George,1610612764,WAS,F,21.0,15,15,1.0,126,255,0.494,0.471,0.023
1626167,Myles Turner,1610612749,MIL,C-F,29.0,18,18,1.0,132,254,0.52,0.489,0.031
1642276,Kel'el Ware,1610612748,MIA,C,21.0,18,18,1.0,118,252,0.468,0.505,-0.037
