TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612754,Indiana Pacers,22,5,17,0.227,1026.0,828,1933,0.428,253,808,0.313,479,616,0.778,275,652,927,514,331.0,164,114,98,523,527,2388,-225.0,34,40,28,38,34,42,34,39,39,32,41,23,21,22,27,40,39,40,5,40,29,5,15,25,39,38
1610612746,LA Clippers,23,8,15,0.348,1073.998333,863,1866,0.462,287,824,0.348,432,527,0.82,224,691,915,522,384.0,204,110,100,467,476,2445,-110.0,27,38,26,34,28,38,40,16,28,29,21,35,38,3,40,34,40,39,20,28,32,7,5,36,36,31
1611661319,Las Vegas Aces,44,30,14,0.682,1760.0,1305,2975,0.439,400,1138,0.351,670,813,0.824,356,1118,1474,861,572.0,329,216,113,730,758,3680,128.0,1,2,22,5,10,8,7,33,6,5,18,4,5,2,9,7,8,9,34,7,2,18,34,7,6,11
1610612747,Los Angeles Lakers,25,16,9,0.64,1136.0,957,1983,0.483,269,806,0.334,503,659,0.763,246,746,992,584,407.0,229,109,95,523,573,2686,46.0,18,13,8,9,20,21,28,4,34,33,30,19,17,31,36,25,27,26,27,18,34,3,15,17,21,21
1611661320,Los Angeles Sparks,44,21,23,0.477,1775.0,1349,2952,0.457,380,1127,0.337,691,898,0.769,351,1113,1464,911,660.0,319,136,207,742,805,3769,-113.0,1,10,39,27,1,4,8,19,8,6,29,1,2,26,10,10,10,6,41,9,14,41,35,3,2,32
1610612763,Memphis Grizzlies,26,9,17,0.346,1184.0,965,2236,0.432,326,982,0.332,509,632,0.805,303,810,1113,673,395.0,201,114,134,578,557,2765,-71.0,15,35,28,35,17,18,14,38,15,12,32,18,20,8,17,16,15,16,25,31,29,28,30,20,17,28
1610612748,Miami Heat,26,16,10,0.615,1189.0,1048,2224,0.471,307,849,0.362,536,688,0.779,255,864,1119,681,410.0,225,122,145,561,587,2939,72.0,15,13,11,12,16,15,15,11,21,25,9,16,14,21,32,14,14,14,28,19,21,32,26,15,14,17
1610612749,Milwaukee Bucks,23,9,14,0.391,1074.0,933,1960,0.476,340,871,0.39,343,477,0.719,189,689,878,586,340.0,188,116,109,532,466,2549,-82.0,27,35,22,31,27,25,30,7,10,22,1,42,41,43,43,35,42,25,7,35,28,14,20,39,31,29
1611661324,Minnesota Lynx,44,34,10,0.773,1765.0,1414,2997,0.472,422,1116,0.378,537,707,0.76,376,1128,1504,1026,571.0,361,211,124,704,720,3787,414.0,1,1,11,3,3,1,5,10,2,7,3,14,12,34,7,6,6,1,33,2,3,24,32,13,1,1
1610612750,Minnesota Timberwolves,22,14,8,0.636,1021.0,894,1871,0.478,276,758,0.364,441,579,0.762,248,695,943,546,350.0,214,128,97,512,508,2505,127.0,34,19,5,10,37,34,39,6,31,36,8,34,30,32,33,32,34,34,11,22,18,4,14,31,33,12
1610612740,New Orleans Pelicans,23,3,20,0.13,1069.0,872,1991,0.438,235,721,0.326,455,603,0.755,314,673,987,484,381.0,208,82,159,509,519,2434,-253.0,27,43,35,43,29,37,26,34,42,41,37,27,27,37,15,39,29,42,18,25,42,34,12,28,37,39
1610612752,New York Knicks,21,11,10,0.524,968.0,844,1857,0.454,297,860,0.345,377,491,0.768,281,650,931,539,300.0,164,96,93,464,463,2362,44.0,42,27,11,21,42,40,41,22,24,23,23,40,39,27,25,41,38,35,2,40,38,1,4,40,40,23
1611661313,New York Liberty,44,27,17,0.614,1760.0,1303,2875,0.453,419,1180,0.355,688,822,0.837,297,1184,1481,960,608.0,336,192,144,714,740,3713,179.0,1,4,28,13,10,9,11,23,4,4,14,2,3,1,21,2,7,2,36,6,5,31,33,9,4,5
1610612760,Oklahoma City Thunder,26,22,4,0.846,1204.0,1051,2213,0.475,322,919,0.35,495,604,0.82,258,845,1103,632,375.0,289,132,108,569,570,2919,330.0,15,9,1,1,15,14,16,8,16,16,19,20,25,4,30,15,17,20,17,12,16,13,27,19,15,3
1610612753,Orlando Magic,24,11,13,0.458,1117.0,926,2006,0.462,271,790,0.343,551,682,0.808,282,763,1045,575,381.0,205,126,120,538,548,2674,51.0,21,27,19,28,22,26,25,17,32,34,24,12,15,6,24,21,21,28,18,26,19,22,22,23,22,20
1610612755,Philadelphia 76ers,25,13,12,0.52,1145.998333,939,2098,0.448,297,837,0.355,494,633,0.78,297,751,1048,560,393.0,195,157,127,531,573,2669,-46.0,18,22,17,24,19,24,20,27,24,28,15,21,19,19,21,22,20,33,23,32,10,26,18,17,23,27
1611661317,Phoenix Mercury,44,27,17,0.614,1760.0,1308,3018,0.433,414,1217,0.34,613,782,0.784,382,1143,1525,921,594.0,344,164,169,782,722,3643,118.0,1,4,28,13,10,7,4,37,5,3,27,9,10,18,6,4,5,5,35,4,8,36,38,12,7,14
1610612756,Phoenix Suns,23,13,10,0.565,1069.0,926,1991,0.465,327,873,0.375,383,491,0.78,299,676,975,566,392.0,247,102,110,545,469,2562,70.0,27,22,11,18,29,26,26,15,14,21,4,39,39,20,20,37,30,31,22,16,36,15,24,38,29,18
1610612757,Portland Trail Blazers,23,11,12,0.478,1069.0,913,2066,0.442,316,953,0.332,480,601,0.799,320,682,1002,569,390.0,205,119,142,530,552,2622,-13.0,27,27,17,26,29,30,21,30,17,14,33,22,28,11,13,36,25,29,21,26,24,29,17,21,25,26
1610612758,Sacramento Kings,24,10,14,0.417,1109.0,944,2016,0.468,260,735,0.354,430,567,0.758,219,721,940,606,349.0,202,87,105,504,509,2578,-154.0,21,31,22,30,25,23,24,14,38,40,16,36,32,35,41,28,35,23,10,30,41,9,10,30,27,35
1610612759,San Antonio Spurs,24,16,8,0.667,1095.0,922,1943,0.475,305,844,0.361,447,565,0.791,248,782,1030,569,401.0,190,119,110,532,505,2596,122.0,21,13,5,8,26,29,33,9,22,26,11,29,33,16,33,19,23,29,26,33,24,15,20,32,26,13
1611661328,Seattle Storm,44,23,21,0.523,1770.0,1370,3044,0.45,332,971,0.342,542,703,0.771,303,1058,1361,938,539.0,373,223,186,751,731,3614,90.0,1,7,37,22,2,3,2,26,12,13,25,13,13,24,17,12,13,4,31,1,1,40,36,11,8,15
1610612761,Toronto Raptors,23,17,6,0.739,1063.983333,953,1951,0.488,268,745,0.36,468,616,0.76,234,702,936,646,342.0,233,99,129,546,500,2642,178.0,27,12,3,4,32,22,32,2,36,38,12,24,21,33,38,30,36,19,8,17,37,27,25,33,24,6
1610612762,Utah Jazz,25,9,16,0.36,1153.0,958,2168,0.442,330,990,0.333,519,655,0.792,316,780,1096,655,431.0,204,95,143,573,598,2765,-139.0,18,35,27,33,18,20,18,31,13,11,31,17,18,15,14,20,18,18,29,28,39,30,29,14,17,34
1611661322,Washington Mystics,44,16,28,0.364,1765.0,1230,2801,0.439,248,754,0.329,686,910,0.754,338,1115,1453,846,672.0,286,140,173,800,863,3394,-195.0,1,13,40,32,3,11,13,32,40,37,36,3,1,38,11,8,11,11,42,13,12,37,40,1,11,36
1610612764,Washington Wizards,22,4,18,0.182,1025.983333,862,1890,0.456,279,772,0.361,350,474,0.738,216,696,912,523,363.0,175,119,124,496,412,2353,-270.0,34,41,33,41,36,39,36,21,29,35,10,41,42,41,42,31,41,38,15,38,24,24,7,43,41,40
