Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,LA Lakers,20.7%,21.2%,19.7%,22.4%,19.4%,20.7%
2,Orlando,20.4%,19.6%,16.2%,20.7%,20.1%,20.4%
3,Brooklyn,20.4%,21.1%,19.4%,20.1%,20.6%,20.4%
4,Detroit,19.9%,21.1%,22.6%,19.2%,20.6%,19.9%
5,Indiana,19.7%,19.8%,24.5%,20.1%,19.4%,19.7%
6,Okla City,19.5%,19.7%,16.9%,19.5%,19.5%,19.5%
7,Dallas,19.5%,15.6%,13.3%,20.5%,17.2%,19.5%
8,Portland,19.4%,21.1%,23.4%,20.3%,18.9%,19.4%
9,San Antonio,19.4%,18.7%,20.4%,18.7%,20.4%,19.4%
10,Cleveland,19.3%,16.0%,13.1%,18.8%,19.9%,19.3%
11,Minnesota,19.2%,20.8%,16.8%,20.1%,18.5%,19.2%
12,Denver,19.1%,17.4%,14.2%,17.9%,20.1%,19.1%
13,Houston,18.9%,17.0%,18.1%,19.6%,18.3%,18.9%
14,New York,18.8%,19.7%,13.4%,18.5%,19.1%,18.8%
15,Charlotte,18.7%,17.9%,19.3%,19.1%,18.4%,18.7%
16,Utah,18.6%,13.5%,11.6%,18.8%,18.4%,18.6%
17,New Orleans,18.5%,16.7%,15.9%,18.9%,17.9%,18.5%
18,Philadelphia,18.4%,15.5%,17.2%,18.9%,17.8%,18.4%
19,Memphis,18.2%,16.9%,13.7%,17.9%,18.6%,18.2%
20,LA Clippers,18.2%,19.5%,20.6%,18.0%,18.3%,18.2%
21,Miami,17.9%,17.9%,15.9%,18.0%,17.9%,17.9%
22,Chicago,17.7%,18.2%,18.0%,18.2%,17.2%,17.7%
23,Sacramento,17.7%,17.6%,23.2%,17.8%,17.6%,17.7%
24,Toronto,17.6%,16.3%,11.5%,17.1%,18.1%,17.6%
25,Atlanta,17.4%,15.1%,15.9%,17.9%,17.1%,17.4%
26,Milwaukee,17.3%,14.6%,14.9%,16.7%,18.2%,17.3%
27,Phoenix,17.3%,17.4%,17.9%,17.9%,16.4%,17.3%
28,Boston,17.2%,17.3%,16.0%,16.6%,17.8%,17.2%
29,Golden State,16.8%,15.4%,11.4%,16.2%,17.1%,16.8%
30,Washington,15.4%,15.6%,17.0%,15.0%,15.6%,15.4%
