SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630173,0022500292,"Nov 24, 2025",SAC vs. MIN,W,34,5,8,0.625,0,1,0.0,0,0,0.0,1,7,8,0,1,1,2,4,10,19,1
22025,1630173,0022500274,"Nov 22, 2025",SAC @ DEN,W,24,3,4,0.75,0,0,0.0,1,1,1.0,2,2,4,0,1,0,0,3,7,5,1
22025,1630173,0022500265,"Nov 20, 2025",SAC @ MEM,L,24,1,3,0.333,0,2,0.0,0,0,0.0,0,5,5,2,0,0,0,1,2,-25,1
22025,1630173,0022500261,"Nov 19, 2025",SAC @ OKC,L,26,6,12,0.5,1,1,1.0,2,4,0.5,5,4,9,3,1,0,2,2,15,-6,1
22025,1630173,0022500234,"Nov 16, 2025",SAC @ SAS,L,5,0,2,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,3,1
22025,1630173,0022500044,"Nov 14, 2025",SAC @ MIN,L,20,2,4,0.5,0,1,0.0,0,1,0.0,1,2,3,0,3,1,0,3,4,-14,1
22025,1630173,0022500223,"Nov 12, 2025",SAC vs. ATL,L,20,4,6,0.667,0,0,0.0,2,4,0.5,2,3,5,2,0,0,0,0,10,-14,1
22025,1630173,0022500212,"Nov 11, 2025",SAC vs. DEN,L,18,3,5,0.6,0,2,0.0,0,0,0.0,2,1,3,3,1,0,1,1,6,-13,1
22025,1630173,0022500197,"Nov 09, 2025",SAC vs. MIN,L,29,5,7,0.714,0,1,0.0,2,3,0.667,4,6,10,0,0,1,1,3,12,-10,1
22025,1630173,0022500038,"Nov 07, 2025",SAC vs. OKC,L,17,1,5,0.2,0,2,0.0,2,3,0.667,0,4,4,0,1,0,0,0,4,2,1
22025,1630173,0022500181,"Nov 05, 2025",SAC vs. GSW,W,9,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,0,4,5,1
22025,203500,0022500290,"Nov 24, 2025",HOU @ PHX,W,16,2,4,0.5,0,0,0.0,2,2,1.0,3,4,7,0,1,0,0,2,6,6,1
22025,203500,0022500054,"Nov 21, 2025",HOU vs. DEN,L,23,2,2,1.0,0,0,0.0,1,3,0.333,5,3,8,2,0,0,1,1,5,14,1
22025,203500,0022500255,"Nov 19, 2025",HOU @ CLE,W,28,2,6,0.333,0,0,0.0,2,2,1.0,6,5,11,3,0,1,2,2,6,6,1
22025,203500,0022500236,"Nov 16, 2025",HOU vs. ORL,W,27,1,8,0.125,0,0,0.0,1,2,0.5,8,5,13,0,0,0,2,3,3,-2,1
22025,203500,0022500042,"Nov 14, 2025",HOU vs. POR,W,18,2,4,0.5,0,0,0.0,1,2,0.5,5,6,11,0,1,2,0,1,5,22,1
22025,203500,0022500218,"Nov 12, 2025",HOU vs. WAS,W,17,2,5,0.4,0,0,0.0,1,2,0.5,5,3,8,4,0,2,1,2,5,21,1
