Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.
26.0,Julius Randle,31.0,MIN,PF,17.0,17.0,569.0,0.515,12.1,0.691,0.268,0.25,0.132,0.04,0.309,0.585,0.74,0.485,0.5,0.455,0.357,0.373,0.8,0.044,11.0,0.226,0.263,0.0,0.0
27.0,Max Christie,22.0,DAL,SG,19.0,16.0,568.0,0.491,16.9,0.379,0.16,0.183,0.036,0.0,0.621,0.516,0.778,0.355,0.167,,0.476,0.667,1.0,0.053,9.0,0.457,0.542,0.0,0.0
28.0,P.J. Washington,27.0,DAL,PF,18.0,18.0,567.0,0.436,12.8,0.637,0.197,0.35,0.056,0.034,0.363,0.497,0.63,0.451,0.385,0.375,0.329,0.554,0.929,0.077,16.0,0.4,0.412,0.0,0.0
29.0,Mikal Bridges,29.0,NYK,SF,16.0,16.0,563.0,0.513,15.3,0.528,0.238,0.119,0.14,0.031,0.472,0.598,0.717,0.609,0.37,0.667,0.418,0.557,0.974,0.041,7.0,0.407,0.486,0.0,0.0
30.0,Derrick White,31.0,BOS,SG,17.0,17.0,562.0,0.353,18.6,0.443,0.071,0.188,0.106,0.078,0.557,0.416,0.611,0.354,0.37,0.45,0.303,0.532,0.674,0.008,2.0,0.162,0.348,0.0,0.0
31.0,Jamal Murray,28.0,DEN,PG,16.0,16.0,562.0,0.477,15.9,0.597,0.141,0.201,0.12,0.134,0.403,0.538,0.65,0.474,0.559,0.5,0.386,0.297,0.5,0.007,2.0,0.061,0.143,1.0,1.0
32.0,Pascal Siakam,31.0,IND,PF,16.0,16.0,562.0,0.471,13.5,0.71,0.167,0.246,0.208,0.089,0.29,0.519,0.592,0.625,0.393,0.385,0.353,0.407,0.733,0.007,1.0,0.082,0.429,0.0,0.0
33.0,VJ Edgecombe,20.0,PHI,SG,15.0,15.0,560.0,0.407,13.7,0.62,0.236,0.231,0.088,0.065,0.38,0.433,0.549,0.38,0.316,0.357,0.366,0.517,0.967,0.088,15.0,0.134,0.273,0.0,0.0
34.0,Jaylen Brown,29.0,BOS,SF,17.0,17.0,551.0,0.506,14.2,0.729,0.161,0.232,0.138,0.198,0.271,0.566,0.825,0.451,0.408,0.6,0.344,0.363,0.606,0.02,3.0,0.115,0.455,0.0,0.0
35.0,Payton Pritchard,28.0,BOS,PG,17.0,17.0,551.0,0.446,19.8,0.42,0.074,0.126,0.152,0.069,0.58,0.608,0.706,0.69,0.571,0.438,0.328,0.169,0.841,0.0,0.0,0.06,0.375,0.0,0.0
36.0,Alperen Şengün,23.0,HOU,C,15.0,15.0,551.0,0.49,10.5,0.826,0.271,0.32,0.17,0.065,0.174,0.5,0.657,0.468,0.357,0.375,0.442,0.343,0.895,0.065,15.0,0.093,0.75,0.0,0.0
37.0,Rudy Gobert,33.0,MIN,C,17.0,17.0,550.0,0.733,2.3,1.0,0.714,0.286,0.0,0.0,0.0,0.733,0.8,0.567,,,,0.662,,0.419,41.0,,,0.0,0.0
38.0,Jaime Jaquez Jr.,24.0,MIA,SF,18.0,0.0,548.0,0.527,7.6,0.867,0.381,0.398,0.062,0.027,0.133,0.577,0.721,0.456,0.5,0.5,0.2,0.451,1.0,0.044,9.0,0.2,0.167,0.0,0.0
39.0,Amen Thompson,23.0,HOU,SF,15.0,15.0,547.0,0.486,8.4,0.849,0.413,0.294,0.078,0.064,0.151,0.53,0.733,0.328,0.294,0.429,0.242,0.51,1.0,0.179,38.0,0.515,0.176,0.0,0.0
40.0,Duncan Robinson,31.0,DET,SF,17.0,17.0,544.0,0.446,21.2,0.21,0.076,0.127,0.006,0.0,0.79,0.545,0.667,0.45,1.0,,0.419,0.722,0.962,0.0,0.0,0.177,0.409,0.0,0.0
41.0,Davion Mitchell,27.0,MIA,PG,18.0,18.0,542.0,0.51,12.8,0.655,0.186,0.359,0.069,0.041,0.345,0.579,0.593,0.596,0.4,0.667,0.38,0.4,0.895,0.0,0.0,0.1,0.0,0.0,0.0
42.0,Royce O'Neale,32.0,PHO,SF,18.0,14.0,542.0,0.438,23.0,0.185,0.031,0.093,0.056,0.006,0.815,0.433,0.2,0.467,0.444,1.0,0.439,0.462,0.931,0.006,1.0,0.152,0.55,0.0,0.0
43.0,Nickeil Alexander-Walker,27.0,ATL,SG,17.0,14.0,542.0,0.46,15.0,0.536,0.255,0.136,0.077,0.068,0.464,0.548,0.667,0.5,0.389,0.375,0.358,0.493,0.897,0.009,2.0,0.229,0.44,0.0,0.0
44.0,Myles Turner,29.0,MIL,C,18.0,18.0,540.0,0.432,18.7,0.398,0.142,0.108,0.097,0.051,0.602,0.457,0.6,0.421,0.294,0.444,0.415,0.688,1.0,0.034,6.0,0.189,0.55,0.0,0.0
45.0,Quentin Grimes,25.0,PHI,SG,17.0,2.0,539.0,0.446,16.9,0.446,0.256,0.113,0.036,0.041,0.554,0.529,0.68,0.455,0.143,0.125,0.38,0.63,0.854,0.021,3.0,0.12,0.231,1.0,1.0
46.0,Zach LaVine,30.0,SAC,SG,16.0,16.0,536.0,0.498,16.6,0.515,0.191,0.157,0.051,0.115,0.485,0.603,0.756,0.541,0.583,0.444,0.386,0.63,0.795,0.077,17.0,0.219,0.48,0.0,0.0
47.0,Rui Hachimura,27.0,LAL,PF,16.0,16.0,535.0,0.568,14.6,0.63,0.247,0.105,0.154,0.123,0.37,0.618,0.675,0.529,0.6,0.6,0.483,0.762,1.0,0.086,13.0,0.417,0.36,0.0,0.0
48.0,Karl-Anthony Towns,30.0,NYK,C,16.0,16.0,535.0,0.45,12.0,0.643,0.368,0.225,0.016,0.035,0.357,0.512,0.611,0.397,0.5,0.222,0.337,0.541,0.968,0.078,17.0,0.043,0.5,0.0,0.0
49.0,Brandin Podziemski,22.0,GSW,SG,19.0,8.0,534.0,0.434,16.8,0.511,0.137,0.165,0.132,0.077,0.489,0.484,0.76,0.433,0.292,0.429,0.382,0.667,0.824,0.0,0.0,0.213,0.579,0.0,0.0
50.0,Jimmy Butler,36.0,GSW,SF,17.0,17.0,532.0,0.53,9.1,0.833,0.323,0.338,0.126,0.045,0.167,0.545,0.766,0.448,0.4,0.111,0.455,0.456,0.733,0.076,14.0,0.424,0.5,0.0,0.0
51.0,Devin Vassell,25.0,SAS,SG,16.0,16.0,531.0,0.405,18.9,0.436,0.092,0.082,0.159,0.103,0.564,0.459,0.556,0.313,0.484,0.45,0.364,0.718,0.95,0.031,5.0,0.245,0.37,0.0,0.0
52.0,Donte DiVincenzo,29.0,MIN,SG,17.0,17.0,530.0,0.416,21.3,0.225,0.075,0.104,0.029,0.017,0.775,0.513,0.615,0.444,0.2,1.0,0.388,0.7,0.981,0.012,2.0,0.201,0.333,0.0,0.0
53.0,Wendell Carter Jr.,26.0,ORL,C,18.0,18.0,529.0,0.54,12.6,0.642,0.328,0.153,0.088,0.073,0.358,0.591,0.778,0.381,0.5,0.3,0.449,0.712,1.0,0.175,20.0,0.367,0.389,0.0,0.0
54.0,RJ Barrett,25.0,TOR,SF,17.0,17.0,526.0,0.506,11.9,0.633,0.346,0.224,0.059,0.004,0.367,0.593,0.646,0.566,0.429,0.0,0.356,0.573,0.968,0.055,13.0,0.241,0.381,0.0,0.0
55.0,Dennis Schröder,32.0,SAC,PG,18.0,12.0,525.0,0.396,15.7,0.609,0.092,0.256,0.15,0.111,0.391,0.437,0.632,0.358,0.355,0.565,0.333,0.164,0.704,0.0,0.0,0.148,0.417,0.0,0.0
56.0,Onyeka Okongwu,25.0,ATL,C,18.0,7.0,524.0,0.522,13.0,0.58,0.271,0.275,0.034,0.0,0.42,0.6,0.768,0.421,0.714,,0.414,0.819,1.0,0.101,20.0,0.322,0.5,0.0,0.0
57.0,Michael Porter Jr.,27.0,BRK,SF,16.0,16.0,521.0,0.483,17.0,0.521,0.156,0.128,0.122,0.115,0.479,0.593,0.911,0.486,0.429,0.455,0.362,0.64,0.9,0.059,16.0,0.145,0.3,0.0,0.0
58.0,Anthony Black,22.0,ORL,PG,19.0,4.0,516.0,0.489,12.6,0.637,0.33,0.214,0.06,0.033,0.363,0.569,0.767,0.436,0.273,0.0,0.348,0.545,0.87,0.132,18.0,0.303,0.35,1.0,1.0
59.0,Jaden McDaniels,25.0,MIN,PF,16.0,16.0,513.0,0.531,11.5,0.708,0.224,0.313,0.151,0.021,0.292,0.566,0.767,0.517,0.379,0.5,0.446,0.649,0.92,0.068,10.0,0.464,0.462,0.0,0.0
60.0,A.J. Green,26.0,MIL,SG,18.0,18.0,511.0,0.473,24.2,0.093,0.016,0.031,0.031,0.016,0.907,0.5,0.5,0.5,0.75,0.0,0.47,0.5,0.909,0.0,0.0,0.231,0.704,0.0,0.0
61.0,Josh Giddey,23.0,CHI,PG,15.0,15.0,511.0,0.463,11.4,0.707,0.288,0.31,0.061,0.048,0.293,0.494,0.652,0.38,0.571,0.182,0.388,0.35,0.808,0.009,2.0,0.134,0.556,0.0,0.0
62.0,Cade Cunningham,24.0,DET,PG,14.0,14.0,509.0,0.444,12.8,0.709,0.182,0.328,0.139,0.06,0.291,0.509,0.618,0.465,0.476,0.5,0.284,0.257,0.32,0.04,10.0,0.023,0.0,0.0,0.0
63.0,Russell Westbrook,37.0,SAC,SF,18.0,12.0,508.0,0.435,15.1,0.541,0.179,0.227,0.092,0.043,0.459,0.482,0.703,0.447,0.316,0.111,0.379,0.296,0.806,0.005,1.0,0.316,0.467,0.0,0.0
64.0,Austin Reaves,27.0,LAL,SG,14.0,14.0,508.0,0.498,16.0,0.556,0.133,0.253,0.137,0.033,0.444,0.642,0.844,0.656,0.515,0.25,0.318,0.372,0.706,0.004,1.0,0.084,0.333,0.0,0.0
