Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
24.0,Kon Knueppel,20.0,CHO,SF,17.0,16.0,571.0,16.0,0.654,0.615,0.171,3.8,16.0,9.9,13.4,1.1,0.6,14.0,21.3,0.9,0.2,1.1,0.094,2.3,-1.5,0.8,0.4
25.0,Ryan Rollins,23.0,MIL,PG,18.0,17.0,569.0,17.7,0.597,0.391,0.16,3.0,11.4,7.2,28.3,2.4,0.8,14.6,24.6,0.7,0.5,1.2,0.098,1.3,-0.7,0.6,0.4
26.0,Julius Randle,31.0,MIN,PF,17.0,17.0,569.0,23.1,0.632,0.309,0.452,4.9,19.0,12.2,27.0,1.6,0.5,12.4,27.5,1.7,0.8,2.5,0.211,4.6,0.4,5.0,1.0
27.0,Max Christie,22.0,DAL,SG,19.0,16.0,568.0,12.3,0.66,0.621,0.201,0.4,11.8,6.1,11.4,0.8,1.4,11.5,15.3,0.6,0.7,1.3,0.109,-0.4,0.5,0.1,0.3
28.0,P.J. Washington,27.0,DAL,PF,18.0,18.0,567.0,12.8,0.529,0.363,0.316,4.2,20.9,12.7,12.0,1.4,3.2,15.0,23.1,-0.6,1.0,0.4,0.035,-2.5,1.0,-1.5,0.1
29.0,Mikal Bridges,29.0,NYK,SF,16.0,16.0,563.0,18.7,0.629,0.472,0.161,3.5,11.1,7.1,18.5,2.8,3.5,7.6,16.4,1.4,0.8,2.2,0.186,3.3,2.2,5.5,1.1
30.0,Derrick White,31.0,BOS,SG,17.0,17.0,562.0,14.9,0.474,0.557,0.18,2.9,10.3,6.5,21.8,2.6,3.9,7.7,22.7,0.3,0.7,1.0,0.088,0.5,1.1,1.7,0.5
31.0,Jamal Murray,28.0,DEN,PG,16.0,16.0,562.0,20.0,0.596,0.403,0.226,1.5,12.4,7.3,28.0,1.6,0.8,10.6,26.3,1.3,0.6,1.9,0.164,3.6,-0.8,2.8,0.7
32.0,Pascal Siakam,31.0,IND,PF,16.0,16.0,562.0,19.1,0.565,0.29,0.444,4.3,17.5,10.5,25.0,1.6,1.3,10.3,28.3,0.7,0.4,1.1,0.091,3.1,-0.6,2.5,0.6
33.0,VJ Edgecombe,20.0,PHI,SG,15.0,15.0,560.0,11.7,0.503,0.38,0.176,6.0,11.7,8.8,16.1,1.6,1.1,11.1,19.5,0.1,0.4,0.5,0.045,-1.9,-0.6,-2.5,-0.1
34.0,Jaylen Brown,29.0,BOS,SF,17.0,17.0,551.0,22.1,0.59,0.271,0.305,3.1,15.7,9.3,23.6,1.4,0.9,12.4,35.7,0.8,0.6,1.4,0.124,3.5,-0.7,2.8,0.7
35.0,Payton Pritchard,28.0,BOS,PG,17.0,17.0,551.0,16.4,0.569,0.58,0.173,3.5,10.9,7.2,22.5,1.2,0.0,8.5,21.1,1.2,0.4,1.6,0.138,1.8,-0.9,0.9,0.4
36.0,Alperen Şengün,23.0,HOU,C,15.0,15.0,551.0,21.2,0.576,0.174,0.409,9.2,20.2,14.8,28.5,1.5,2.5,15.4,25.8,1.3,0.8,2.1,0.186,4.3,1.5,5.8,1.1
37.0,Rudy Gobert,33.0,MIN,C,17.0,17.0,550.0,15.5,0.704,0.0,0.524,12.5,21.8,17.3,7.1,0.7,4.7,19.9,12.3,0.9,0.8,1.7,0.149,-1.2,0.4,-0.7,0.2
