Player,Team,Opponent,Prop,Line,Proj,Prob,Pick,Tier,Diff%
Ben Sheppard,IND,WAS,PTS,6.5,8.72,92.1%,Over,S Tier,34.2
Bilal Coulibaly,WAS,IND,PTS,9.5,12.76,91.8%,Over,S Tier,34.3
Vit Krejci,ATL,CLE,PTS,7.5,9.72,91.3%,Over,S Tier,29.6
Nicolas Batum,LAC,MEM,PTS,5.5,7.23,91.3%,Over,S Tier,31.5
Drake Powell,BKN,PHI,PTS,6.5,8.27,91.2%,Over,S Tier,27.2
Terance Mann,BKN,PHI,PTS,8.5,11.12,90.9%,Over,S Tier,30.8
Isaiah Collier,UTA,SAC,PTS,8.5,11.56,90.9%,Over,S Tier,36.0
Isaac Okoro,CHI,CHA,PTS,7.5,9.62,90.3%,Over,S Tier,28.3
Lonzo Ball,CLE,ATL,PTS,6.5,8.8,90.2%,Over,S Tier,35.4
Tyrese Martin,BKN,PHI,PTS,9.5,12.36,89.9%,Over,S Tier,30.1
Egor Demin,BKN,PHI,PTS,9.5,12.41,89.8%,Over,S Tier,30.6
Bruce Brown,DEN,SAS,PTS,8.5,11.03,89.4%,Over,S Tier,29.8
Caris LeVert,DET,ORL,PTS,8.5,10.91,89.2%,Over,S Tier,28.4
Drew Eubanks,SAC,UTA,PTS,6.5,8.43,89.2%,Over,S Tier,29.7
Brandon Williams,DAL,LAL,PTS,11.5,14.18,89.2%,Over,S Tier,23.3
Kevin Love,UTA,SAC,PTS,5.5,7.02,89.0%,Over,S Tier,27.6
Noah Clowney,BKN,PHI,PTS,14.5,16.26,88.7%,Over,S Tier,12.1
Ryan Kalkbrenner,CHA,CHI,PTS,7.5,9.44,88.6%,Over,S Tier,25.9
Jonas Valanciunas,DEN,SAS,PTS,7.5,9.8,88.5%,Over,S Tier,30.7
Isaiah Jackson,IND,WAS,PTS,8.5,11.55,88.0%,Over,S Tier,35.9
Goga Bitadze,ORL,DET,PTS,6.5,8.27,88.0%,Over,S Tier,27.2
Keegan Murray,SAC,UTA,PTS,16.5,18.1,87.8%,Over,S Tier,9.7
Jaden Ivey,DET,ORL,PTS,9.5,12.2,87.7%,Over,S Tier,28.4
Dylan Harper,SAS,DEN,PTS,11.5,14.52,87.3%,Over,S Tier,26.3
Kris Dunn,LAC,MEM,PTS,8.5,11.25,87.2%,Over,S Tier,32.4
Jay Huff,IND,WAS,PTS,9.5,12.5,87.0%,Over,S Tier,31.6
Ayo Dosunmu,CHI,CHA,PTS,14.5,16.5,87.0%,Over,S Tier,13.8
Keyonte George,UTA,SAC,PTS,21.5,23.16,87.0%,Over,S Tier,7.7
Russell Westbrook,SAC,UTA,PTS,14.5,16.38,87.0%,Over,S Tier,13.0
Marcus Smart,LAL,DAL,PTS,6.5,8.84,87.0%,Over,S Tier,36.0
Cam Spencer,MEM,LAC,PTS,9.5,12.12,86.8%,Over,S Tier,27.6
Devin Vassell,SAS,DEN,PTS,15.5,17.16,86.7%,Over,S Tier,10.7
T.J. McConnell,IND,WAS,PTS,11.5,14.87,86.6%,Over,S Tier,29.3
Collin Gillespie,PHX,OKC,PTS,11.5,14.24,86.6%,Over,S Tier,23.8
Vince Williams Jr.,MEM,LAC,PTS,8.5,10.85,86.6%,Over,S Tier,27.6
Isaiah Stewart,DET,ORL,PTS,7.5,9.34,86.5%,Over,S Tier,24.5
Svi Mykhailiuk,UTA,SAC,PTS,7.5,9.55,86.2%,Over,S Tier,27.3
Jock Landale,MEM,LAC,PTS,7.5,9.43,86.0%,Over,S Tier,25.7
Max Christie,DAL,LAL,PTS,10.5,13.74,85.9%,Over,S Tier,30.9
Andrew Nembhard,IND,WAS,PTS,17.5,19.05,85.8%,Over,S Tier,8.9
Matas Buzelis,CHI,CHA,PTS,13.5,15.69,85.6%,Over,S Tier,16.2
Anthony Black,ORL,DET,PTS,12.5,15.23,85.5%,Over,S Tier,21.8
Naji Marshall,DAL,LAL,PTS,8.5,11.13,85.2%,Over,S Tier,30.9
