Team,Team_Full,Player,Position,Updated,Injury,Injury Status,Status_Clean
DEN,Denver,Aaron Gordon,PF,"Thu, Nov 20",Hamstring,Game Time Decision,GTD
DEN,Denver,Christian Braun,SF,"Fri, Nov 14",Ankle,Expected to be out until at least Jan 9,OUT
DET,Detroit,Caris LeVert,SG,"Tue, Nov 18",Ankle,Game Time Decision,GTD
DET,Detroit,Tobias Harris,PF,"Tue, Nov 18",Ankle,Game Time Decision,GTD
DET,Detroit,Bobi Klintman,PF,"Mon, Nov 17",Ankle,Expected to be out until at least Nov 24,OUT
DET,Detroit,Marcus Sasser,PG,"Sat, Nov 8",Hip,Expected to be out until at least Dec 18,OUT
DET,Detroit,Jaden Ivey,SG,"Thu, Oct 16",Knee,Expected to be out until at least Nov 24,OUT
UNK,Golden St.,Jimmy Butler,SF,"Thu, Nov 20",Back,Game Time Decision,GTD
UNK,Golden St.,Jonathan Kuminga,PF,"Thu, Nov 20",Knee,Expected to be out until at least Nov 24,OUT
UNK,Golden St.,Draymond Green,PF,"Thu, Nov 20",Illness,Game Time Decision,GTD
UNK,Golden St.,Buddy Hield,SF,"Thu, Nov 20",Illness,Game Time Decision,GTD
UNK,Golden St.,De'Anthony Melton,SG,"Wed, Nov 19",Knee,Expected to be out until at least Dec 2,OUT
HOU,Houston,Jabari Smith,PF,"Thu, Nov 20",Knee,Game Time Decision,GTD
HOU,Houston,Steven Adams,C,"Thu, Nov 20",Ankle,Game Time Decision,GTD
HOU,Houston,Tari Eason,PF,"Sat, Nov 15",Hip,Expected to be out until at least Dec 18,OUT
HOU,Houston,Dorian Finney-Smith,PF,"Mon, Nov 10",Ankle,Expected to be out until at least Nov 24,OUT
HOU,Houston,Fred VanVleet,PG,"Tue, Oct 21",Knee,Expected to be out until at least Jun 1,OUT
IND,Indiana,Quenton Jackson,SG,"Thu, Nov 20",Hamstring,Expected to be out until at least Nov 24,OUT
IND,Indiana,Johnny Furphy,SG,"Thu, Nov 20",Ankle,Expected to be out until at least Nov 24,OUT
IND,Indiana,Aaron Nesmith,SF,"Sat, Nov 15",Knee,Expected to be out until at least Dec 18,OUT
IND,Indiana,Kam Jones,PG,"Mon, Nov 10",Back,Expected to be out until at least Dec 3,OUT
IND,Indiana,Obi Toppin,PF,"Fri, Oct 31",Foot,Expected to be out until at least Feb 2,OUT
IND,Indiana,Tyrese Haliburton,PG,"Tue, Oct 28",Achilles,Out for the season,OUT
UNK,L.A. Clippers,Jordan Miller,SG,"Thu, Nov 20",Hamstring,Game Time Decision,GTD
UNK,L.A. Clippers,Kawhi Leonard,SF,"Thu, Nov 20",Ankle,Game Time Decision,GTD
UNK,L.A. Clippers,Derrick Jones Jr.,SF,"Mon, Nov 17",Knee,Expected to be out until at least Dec 30,OUT
UNK,L.A. Clippers,Bradley Beal,SG,"Wed, Nov 12",Hip,Out for the season,OUT
MEM,Memphis,Jaren Jackson Jr.,PF,"Fri, Nov 21",Ankle,Game Time Decision,GTD
MEM,Memphis,Ja Morant,PG,"Mon, Nov 17",Calf,Expected to be out until at least Dec 2,OUT
MEM,Memphis,Ty Jerome,SG,"Mon, Nov 17",Calf,Expected to be out until at least Nov 24,OUT
MEM,Memphis,Javon Small,PG,"Sat, Nov 15",Toe,Expected to be out until at least Dec 7,OUT
MEM,Memphis,Brandon Clarke,C,"Tue, Nov 11",Knee,Expected to be out until at least Dec 30,OUT
MEM,Memphis,Scotty Pippen Jr.,PG,"Sat, Oct 18",Toe,Expected to be out until at least Jan 15,OUT
MIA,Miami,Nikola Jovic,PF,"Thu, Nov 20",Hip,Expected to be out until at least Nov 23,OUT
MIA,Miami,Andrew Wiggins,SF,"Thu, Nov 20",Hip,Expected to be out until at least Nov 23,OUT
MIA,Miami,Tyler Herro,PG,"Wed, Nov 19",Ankle,Expected to be out until at least Nov 24,OUT
MIA,Miami,Terry Rozier,SG,"Thu, Oct 23",Not Injury Related,Expected to be out until at least Dec 1,OUT
MIL,Milwaukee,Giannis Antetokounmpo,PF,"Fri, Nov 21",Thigh,Expected to be out until at least Nov 28,OUT
MIL,Milwaukee,Taurean Prince,SG,"Thu, Nov 13",Neck,Expected to be out until at least Jan 2,OUT
MIL,Milwaukee,Kevin Porter,PG,"Fri, Oct 31",Knee,Expected to be out until at least Nov 28,OUT
MIN,Minnesota,Jaden McDaniels,SF,"Thu, Nov 20",Wrist,Game Time Decision,GTD
MIN,Minnesota,Joe Ingles,SG,"Thu, Nov 20",Groin,Game Time Decision,GTD
