Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
273.0,Paul Reed,26.0,DET,C,13.0,2.0,163.0,0.696,0.729,0.5,0.732,0.583,0.726,0.214,0.143,149.0,133.0,140.0,135.0,74.0,125.0,75.0,34.0,21.2,17.6
274.0,RayJ Dennis,24.0,IND,PG,11.0,0.0,161.0,0.314,0.303,0.324,0.4,0.889,0.433,0.129,0.529,67.0,55.0,91.0,74.0,113.0,74.0,45.0,126.0,-20.0,-22.1
275.0,Nick Richards,28.0,PHO,C,15.0,1.0,156.0,0.558,0.558,,0.558,0.72,0.611,0.581,0.0,119.0,102.0,,103.0,91.0,105.0,204.0,0.0,1.3,3.1
276.0,Jeremy Sochan,22.0,SAS,PF,9.0,0.0,154.0,0.535,0.64,0.389,0.616,0.818,0.648,0.256,0.419,114.0,117.0,109.0,114.0,104.0,111.0,90.0,100.0,6.3,6.3
277.0,Walker Kessler,24.0,UTA,C,5.0,5.0,154.0,0.703,0.69,0.75,0.784,0.7,0.786,0.541,0.216,150.0,126.0,209.0,144.0,89.0,135.0,190.0,52.0,17.8,18.7
278.0,Tyrese Proctor,21.0,CLE,PG,13.0,0.0,153.0,0.333,0.409,0.293,0.429,0.889,0.463,0.143,0.651,71.0,75.0,82.0,79.0,113.0,80.0,50.0,156.0,-14.4,-16.0
279.0,Isaiah Collier,21.0,UTA,PG,6.0,1.0,152.0,0.583,0.613,0.4,0.611,0.741,0.668,0.75,0.139,125.0,112.0,112.0,113.0,94.0,115.0,263.0,33.0,4.9,8.2
280.0,Bilal Coulibaly,21.0,WAS,SG,6.0,6.0,152.0,0.42,0.467,0.35,0.49,0.75,0.535,0.32,0.4,90.0,85.0,98.0,90.0,95.0,92.0,112.0,96.0,-5.3,-5.4
281.0,Jonathan Isaac,28.0,ORL,PF,15.0,0.0,149.0,0.429,0.667,0.25,0.5,0.667,0.534,0.343,0.571,92.0,122.0,70.0,92.0,84.0,92.0,120.0,137.0,-3.0,-3.9
282.0,Drake Powell,20.0,BRK,SG,8.0,0.0,149.0,0.487,0.538,0.385,0.551,1.0,0.57,0.077,0.333,104.0,98.0,107.0,102.0,127.0,98.0,27.0,80.0,0.7,-1.0
283.0,Anthony Davis,32.0,DAL,PF,5.0,5.0,149.0,0.52,0.563,0.273,0.54,0.742,0.587,0.413,0.147,111.0,103.0,76.0,99.0,94.0,101.0,145.0,35.0,-0.4,0.8
284.0,Taylor Hendricks,22.0,UTA,PF,9.0,3.0,148.0,0.375,0.478,0.235,0.425,0.75,0.46,0.2,0.425,80.0,87.0,66.0,78.0,95.0,79.0,70.0,102.0,-9.4,-10.7
285.0,Jaden Hardy,23.0,DAL,SG,13.0,0.0,147.0,0.397,0.375,0.41,0.524,0.8,0.571,0.317,0.619,85.0,69.0,115.0,97.0,101.0,98.0,111.0,148.0,-2.4,-1.6
286.0,Dominick Barlow,22.0,PHI,PF,6.0,4.0,147.0,0.536,0.632,0.333,0.589,0.75,0.619,0.286,0.321,115.0,115.0,93.0,109.0,95.0,106.0,100.0,77.0,2.6,2.3
287.0,Rob Dillingham,21.0,MIN,PG,13.0,0.0,145.0,0.373,0.423,0.2,0.396,0.727,0.425,0.164,0.224,80.0,77.0,56.0,73.0,92.0,73.0,58.0,53.0,-19.7,-22.7
288.0,Joel Embiid,31.0,PHI,C,6.0,6.0,140.0,0.46,0.525,0.321,0.511,0.829,0.576,0.402,0.322,98.0,96.0,90.0,94.0,105.0,99.0,141.0,77.0,-5.4,-1.2
289.0,Dylan Harper,19.0,SAS,SG,6.0,0.0,140.0,0.5,0.54,0.357,0.539,0.833,0.584,0.281,0.219,107.0,99.0,100.0,99.0,106.0,100.0,99.0,52.0,-0.5,0.3
290.0,Moussa Cisse,23.0,DAL,C,12.0,1.0,139.0,0.667,0.667,,0.667,0.36,0.598,0.833,0.0,142.0,122.0,,123.0,46.0,103.0,293.0,0.0,7.4,1.3
291.0,Sidy Cissoko,21.0,POR,SF,10.0,1.0,139.0,0.393,0.5,0.25,0.446,0.636,0.487,0.393,0.429,84.0,91.0,70.0,82.0,81.0,84.0,138.0,102.0,-5.4,-6.2
292.0,Trae Young,27.0,ATL,PG,5.0,5.0,139.0,0.371,0.477,0.192,0.407,0.821,0.511,0.557,0.371,79.0,87.0,54.0,75.0,104.0,88.0,196.0,89.0,-19.0,-12.5
293.0,Ja'Kobe Walter,21.0,TOR,SG,12.0,0.0,138.0,0.389,0.5,0.346,0.514,0.857,0.55,0.194,0.722,83.0,91.0,97.0,95.0,109.0,94.0,68.0,173.0,-2.1,-2.5
