CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1642859,Jase Richardson,1610612753,ORL,G,20.0,5,5,1.0,8,13,0.615,0.441,0.174
1630644,Mac McClung,1610612754,IND,G,26.0,2,2,1.0,6,13,0.462,0.452,0.009
1641706,Brandon Miller,1610612766,CHA,F,23.0,2,2,1.0,4,13,0.308,0.432,-0.125
201599,DeAndre Jordan,1610612740,NOP,C,37.0,2,2,1.0,5,13,0.385,0.555,-0.171
203967,Dario Šarić,1610612758,SAC,F-C,31.0,3,3,1.0,8,13,0.615,0.466,0.149
1642277,Johnny Furphy,1610612754,IND,G,20.0,2,2,1.0,4,12,0.333,0.447,-0.114
1630322,Lindy Waters III,1610612759,SAS,F,28.0,6,6,1.0,7,12,0.583,0.481,0.102
1631159,Leonard Miller,1610612750,MIN,F,21.0,4,4,1.0,6,12,0.5,0.365,0.135
1631121,Bryce McGowens,1610612740,NOP,G,23.0,5,5,1.0,4,12,0.333,0.451,-0.117
1631103,Malaki Branham,1610612764,WAS,F,22.0,5,5,1.0,5,11,0.455,0.469,-0.014
1641748,Andre Jackson Jr.,1610612749,MIL,G,24.0,4,4,1.0,5,9,0.556,0.58,-0.025
1629680,Matisse Thybulle,1610612757,POR,G-F,28.0,4,4,1.0,3,9,0.333,0.458,-0.124
1630623,Tyson Etienne,1610612751,BKN,G,26.0,4,4,1.0,3,9,0.333,0.397,-0.063
1631120,JD Davison,1610612745,HOU,G,23.0,5,5,1.0,3,9,0.333,0.396,-0.063
1629646,Charles Bassey,1610612763,MEM,C-F,25.0,2,2,1.0,5,9,0.556,0.524,0.032
1641713,GG Jackson,1610612763,MEM,F,20.0,3,3,1.0,4,9,0.444,0.428,0.017
2544,LeBron James,1610612747,LAL,F,40.0,1,1,1.0,5,9,0.556,0.462,0.094
1642368,N'Faly Dante,1610612737,ATL,C,24.0,3,3,1.0,1,8,0.125,0.433,-0.308
1630621,Hunter Dickinson,1610612740,NOP,C,24.0,1,1,1.0,4,8,0.5,0.457,0.043
1641790,PJ Hall,1610612763,MEM,C,23.0,4,4,1.0,2,8,0.25,0.5,-0.25
1641813,Mark Sears,1610612749,MIL,G,23.0,3,3,1.0,3,8,0.375,0.384,-0.009
1630164,James Wiseman,1610612754,IND,C,24.0,1,1,1.0,1,8,0.125,0.477,-0.352
1630224,Jalen Green,1610612756,PHX,G,23.0,2,2,1.0,1,8,0.125,0.417,-0.292
1629645,Kevin Porter Jr.,1610612749,MIL,G-F,25.0,1,1,1.0,4,7,0.571,0.453,0.118
1642359,Pacôme Dadiet,1610612752,NYK,F,20.0,4,4,1.0,3,7,0.429,0.432,-0.003
1642403,Isaac Jones,1610612765,DET,F,25.0,3,3,1.0,4,7,0.571,0.445,0.126
