TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1610612742,Dallas Mavericks,DAL,16,16,1.0,683,1502,0.455,0.517,0.625,496,938,0.529,0.375,187,564,0.332
1610612744,Golden State Warriors,GSW,17,17,1.0,705,1496,0.471,0.541,0.603,495,902,0.549,0.397,210,594,0.354
1610612748,Miami Heat,MIA,15,15,1.0,636,1466,0.434,0.508,0.535,419,784,0.534,0.465,217,682,0.318
1610612763,Memphis Grizzlies,MEM,16,16,1.0,692,1435,0.482,0.562,0.562,464,806,0.576,0.438,228,629,0.362
1610612737,Atlanta Hawks,ATL,16,16,1.0,664,1434,0.463,0.535,0.581,458,833,0.55,0.419,206,601,0.343
1610612758,Sacramento Kings,SAC,16,16,1.0,726,1431,0.507,0.583,0.574,509,821,0.62,0.426,217,610,0.356
1610612749,Milwaukee Bucks,MIL,16,16,1.0,668,1421,0.47,0.542,0.585,463,831,0.557,0.415,205,590,0.347
1610612753,Orlando Magic,ORL,16,16,1.0,656,1416,0.463,0.529,0.636,471,900,0.523,0.364,185,516,0.359
1610612739,Cleveland Cavaliers,CLE,16,16,1.0,654,1414,0.463,0.537,0.605,443,856,0.518,0.395,211,558,0.378
1610612760,Oklahoma City Thunder,OKC,16,16,1.0,589,1393,0.423,0.503,0.564,365,786,0.464,0.436,224,607,0.369
1610612755,Philadelphia 76ers,PHI,15,15,1.0,636,1360,0.468,0.541,0.585,436,795,0.548,0.415,200,565,0.354
1610612754,Indiana Pacers,IND,15,15,1.0,652,1353,0.482,0.547,0.593,475,803,0.592,0.407,177,550,0.322
1610612764,Washington Wizards,WAS,14,14,1.0,641,1339,0.479,0.555,0.59,436,790,0.552,0.41,205,549,0.373
1610612766,Charlotte Hornets,CHA,15,15,1.0,670,1338,0.501,0.581,0.612,456,819,0.557,0.388,214,519,0.412
1610612750,Minnesota Timberwolves,MIN,15,15,1.0,606,1333,0.455,0.528,0.596,411,794,0.518,0.404,195,539,0.362
1610612741,Chicago Bulls,CHI,14,14,1.0,624,1331,0.469,0.535,0.624,447,831,0.538,0.376,177,500,0.354
1610612746,LA Clippers,LAC,15,15,1.0,625,1330,0.47,0.555,0.568,400,756,0.529,0.432,225,574,0.392
1610612757,Portland Trail Blazers,POR,15,15,1.0,644,1327,0.485,0.555,0.612,458,812,0.564,0.388,186,515,0.361
1610612759,San Antonio Spurs,SAS,15,15,1.0,597,1323,0.451,0.533,0.584,380,772,0.492,0.416,217,551,0.394
1610612756,Phoenix Suns,PHX,15,15,1.0,611,1311,0.466,0.536,0.586,427,768,0.556,0.414,184,543,0.339
1610612740,New Orleans Pelicans,NOP,15,15,1.0,660,1306,0.505,0.59,0.529,438,691,0.634,0.471,222,615,0.361
1610612761,Toronto Raptors,TOR,15,15,1.0,603,1305,0.462,0.53,0.579,426,756,0.563,0.421,177,549,0.322
1610612765,Detroit Pistons,DET,15,15,1.0,567,1291,0.439,0.515,0.572,372,739,0.503,0.428,195,552,0.353
1610612762,Utah Jazz,UTA,14,14,1.0,621,1290,0.481,0.566,0.54,404,696,0.58,0.46,217,594,0.365
1610612747,Los Angeles Lakers,LAL,15,15,1.0,617,1286,0.48,0.56,0.556,410,715,0.573,0.444,207,571,0.363
1610612743,Denver Nuggets,DEN,14,14,1.0,571,1269,0.45,0.516,0.576,403,731,0.551,0.424,168,538,0.312
1610612738,Boston Celtics,BOS,15,15,1.0,545,1257,0.434,0.511,0.566,351,711,0.494,0.434,194,546,0.355
1610612751,Brooklyn Nets,BKN,14,14,1.0,611,1203,0.508,0.589,0.589,415,709,0.585,0.411,196,494,0.397
1610612752,New York Knicks,NYK,14,14,1.0,566,1203,0.47,0.56,0.542,350,652,0.537,0.458,216,551,0.392
1610612745,Houston Rockets,HOU,13,13,1.0,528,1165,0.453,0.532,0.559,344,651,0.528,0.441,184,514,0.358
