Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Luka Dončić,26.0,LAL,PG,11.0,11.0,36.8,10.6,22.5,0.472,3.5,10.9,0.317,7.2,11.6,0.617,0.548,9.9,12.5,0.79,0.8,7.7,8.5,9.0,1.9,0.5,4.1,2.6,34.6
2.0,Tyrese Maxey,25.0,PHI,PG,15.0,15.0,40.7,11.1,23.4,0.473,4.1,9.7,0.421,7.0,13.7,0.51,0.56,7.2,8.2,0.878,0.3,4.4,4.7,7.9,1.6,0.9,2.8,2.5,33.4
3.0,Shai Gilgeous-Alexander,27.0,OKC,PG,17.0,17.0,33.2,10.7,20.1,0.534,2.2,5.5,0.404,8.5,14.5,0.583,0.589,8.3,9.3,0.892,0.5,4.4,4.9,6.6,1.5,0.9,1.8,1.7,31.9
4.0,Giannis Antetokounmpo,31.0,MIL,PF,13.0,13.0,31.8,12.0,19.1,0.629,0.7,1.4,0.5,11.3,17.7,0.639,0.647,6.5,10.2,0.636,3.7,7.2,10.8,6.8,0.9,1.2,3.5,2.6,31.2
5.0,Donovan Mitchell,29.0,CLE,SG,15.0,15.0,34.1,10.3,20.3,0.507,3.9,10.3,0.383,6.3,10.0,0.633,0.604,5.9,7.1,0.822,0.8,4.0,4.8,5.3,1.5,0.4,3.4,2.4,30.3
6.0,Lauri Markkanen,28.0,UTA,PF,15.0,15.0,35.7,10.0,20.6,0.485,3.6,9.3,0.388,6.4,11.3,0.565,0.573,6.3,7.0,0.895,2.3,3.8,6.1,2.1,1.1,0.5,1.3,1.9,29.9
7.0,Nikola Jokić,30.0,DEN,C,15.0,15.0,34.8,10.9,17.1,0.634,2.0,4.9,0.411,8.9,12.3,0.723,0.693,5.7,6.7,0.851,3.2,9.8,13.0,11.0,1.7,0.8,3.6,3.1,29.5
8.0,Stephen Curry,37.0,GSW,PG,14.0,14.0,31.1,9.3,19.5,0.476,4.8,11.9,0.404,4.5,7.6,0.589,0.599,5.3,5.8,0.914,0.2,3.3,3.5,4.1,1.4,0.4,2.9,2.2,28.6
9.0,Austin Reaves,27.0,LAL,SG,12.0,12.0,36.1,8.5,17.3,0.49,2.6,7.9,0.326,5.9,9.4,0.628,0.565,8.5,9.8,0.872,0.7,4.4,5.1,7.6,1.3,0.1,3.4,2.5,28.1
10.0,Jalen Brunson,29.0,NYK,PG,12.0,12.0,34.0,9.8,21.0,0.468,2.8,7.6,0.363,7.1,13.4,0.528,0.534,5.6,6.6,0.848,0.4,3.1,3.5,6.4,0.8,0.1,2.6,2.8,28.0
11.0,Jaylen Brown,29.0,BOS,SF,16.0,16.0,32.1,10.3,20.5,0.503,1.9,5.6,0.344,8.4,14.9,0.563,0.55,4.9,6.3,0.772,0.9,4.8,5.7,4.1,0.9,0.3,3.5,3.3,27.4
12.0,Cade Cunningham,24.0,DET,PG,12.0,12.0,36.8,9.7,22.2,0.436,1.8,6.7,0.275,7.8,15.5,0.505,0.477,6.1,7.5,0.811,1.0,4.4,5.4,9.9,1.4,0.8,3.6,3.8,27.3
13.0,Devin Booker,29.0,PHO,SG,16.0,16.0,35.3,9.2,19.3,0.477,1.9,5.6,0.333,7.3,13.6,0.537,0.526,6.8,7.6,0.893,1.1,3.1,4.1,7.1,0.9,0.3,4.1,3.0,27.1
14.0,Anthony Edwards,24.0,MIN,SG,12.0,12.0,31.6,8.8,19.0,0.465,3.1,8.3,0.374,5.8,10.8,0.535,0.546,5.8,6.8,0.841,0.9,3.4,4.3,3.5,1.5,0.7,2.5,1.9,26.5
15.0,James Harden,36.0,LAC,PG,14.0,14.0,35.8,7.6,17.4,0.44,3.7,9.7,0.382,3.9,7.6,0.514,0.547,7.5,8.2,0.913,0.6,5.6,6.2,8.6,1.0,0.5,3.9,1.9,26.5
16.0,Bennedict Mathurin,23.0,IND,SF,5.0,5.0,33.8,7.6,15.0,0.507,2.4,6.2,0.387,5.2,8.8,0.591,0.587,8.8,10.8,0.815,1.8,5.4,7.2,2.2,0.6,0.2,2.6,3.2,26.4
17.0,Victor Wembanyama,22.0,SAS,C,12.0,12.0,34.7,9.3,18.4,0.502,1.7,4.8,0.345,7.6,13.6,0.558,0.548,6.0,7.0,0.857,2.0,10.9,12.9,4.0,1.1,3.6,3.6,3.7,26.2
18.0,Coby White,25.0,CHI,SG,2.0,0.0,29.0,7.0,15.5,0.452,4.0,8.5,0.471,3.0,7.0,0.429,0.581,8.0,8.5,0.941,0.0,2.5,2.5,7.5,1.5,0.0,3.0,2.5,26.0
19.0,Deni Avdija,25.0,POR,SF,16.0,16.0,34.4,8.3,17.1,0.482,2.5,6.8,0.37,5.8,10.4,0.554,0.555,6.9,8.3,0.841,1.3,5.4,6.7,5.7,0.6,0.8,3.6,3.3,25.9
20.0,Norman Powell,32.0,MIA,SG,13.0,13.0,30.6,8.0,16.3,0.491,3.2,6.9,0.456,4.8,9.4,0.516,0.587,5.8,6.4,0.904,0.3,3.5,3.8,2.5,1.2,0.2,1.9,2.3,24.9
21.0,Michael Porter Jr.,27.0,BRK,SF,14.0,14.0,32.9,8.9,18.2,0.486,3.2,8.6,0.375,5.6,9.6,0.585,0.575,3.9,4.6,0.844,1.1,6.6,7.7,3.1,0.8,0.1,2.2,2.1,24.8
22.0,Pascal Siakam,31.0,IND,PF,15.0,15.0,35.1,8.7,18.7,0.466,2.0,5.5,0.361,6.7,13.2,0.51,0.52,5.3,7.7,0.69,1.5,5.5,7.0,4.9,1.1,0.4,2.5,3.2,24.8
23.0,Julius Randle,31.0,MIN,PF,16.0,16.0,33.2,8.4,16.2,0.521,1.8,5.0,0.363,6.6,11.2,0.592,0.577,6.0,7.3,0.821,1.4,5.9,7.3,5.8,1.2,0.2,2.6,2.5,24.7
24.0,Kevin Durant,37.0,HOU,SF,14.0,14.0,36.1,8.3,17.0,0.487,1.7,4.7,0.364,6.6,12.3,0.535,0.538,6.3,7.1,0.88,0.3,4.4,4.7,3.3,1.0,0.6,3.0,2.7,24.6
25.0,Kawhi Leonard,34.0,LAC,SF,6.0,6.0,33.5,8.8,17.5,0.505,2.3,5.8,0.4,6.5,11.7,0.557,0.571,4.3,4.5,0.963,0.8,4.8,5.7,3.5,2.5,0.7,1.8,1.2,24.3
26.0,De'Aaron Fox,28.0,SAS,PG,7.0,7.0,33.6,8.9,17.1,0.517,2.4,6.3,0.386,6.4,10.9,0.592,0.588,3.0,3.9,0.778,1.3,2.1,3.4,6.6,1.4,0.3,3.4,2.9,23.1
27.0,Keyonte George,22.0,UTA,PG,15.0,15.0,34.2,7.1,16.3,0.434,1.9,6.5,0.296,5.1,9.7,0.527,0.494,6.7,7.2,0.935,0.6,3.3,3.9,7.1,1.0,0.3,3.4,2.3,22.8
28.0,Jamal Murray,28.0,DEN,PG,14.0,14.0,34.9,8.2,17.4,0.471,2.5,7.0,0.357,5.7,10.4,0.548,0.543,3.9,4.2,0.915,0.5,4.4,4.9,6.5,1.2,0.3,2.5,1.6,22.8
29.0,Alperen Şengün,23.0,HOU,C,14.0,14.0,36.9,8.1,16.6,0.485,1.2,2.8,0.436,6.9,13.9,0.495,0.521,5.4,7.2,0.743,3.0,7.0,10.0,7.3,1.2,0.9,3.5,3.4,22.7
30.0,Shaedon Sharpe,22.0,POR,SG,14.0,14.0,28.6,8.2,18.7,0.439,1.8,6.9,0.258,6.4,11.8,0.545,0.487,4.4,5.4,0.803,1.4,3.6,5.0,2.1,1.4,0.2,2.8,2.1,22.6
31.0,Franz Wagner,24.0,ORL,SF,16.0,16.0,35.5,7.4,16.3,0.454,1.6,4.7,0.333,5.8,11.6,0.503,0.502,6.3,7.6,0.835,1.8,4.6,6.4,3.8,1.1,0.4,1.9,2.6,22.6
32.0,Miles Bridges,27.0,CHO,PF,15.0,15.0,35.3,7.5,17.7,0.423,3.3,9.0,0.363,4.2,8.7,0.485,0.515,4.1,4.5,0.897,1.2,5.7,6.9,3.8,0.7,0.5,1.5,2.1,22.3
33.0,Jalen Johnson,24.0,ATL,SF,14.0,14.0,33.7,8.5,14.6,0.58,1.3,3.2,0.4,7.2,11.4,0.631,0.624,4.0,4.9,0.812,1.1,8.6,9.6,6.6,1.8,0.3,3.1,2.2,22.3
34.0,Zach LaVine,30.0,SAC,SG,14.0,14.0,33.5,7.7,15.1,0.512,3.0,7.3,0.412,4.7,7.8,0.606,0.611,3.4,3.9,0.889,0.2,3.2,3.4,2.2,0.6,0.1,2.3,2.4,21.9
35.0,Paolo Banchero,23.0,ORL,PF,12.0,12.0,32.8,6.8,14.8,0.461,0.9,3.7,0.25,5.9,11.2,0.53,0.492,7.1,9.3,0.766,0.9,7.8,8.7,4.1,0.8,0.9,2.7,2.4,21.7
36.0,LaMelo Ball,24.0,CHO,PG,9.0,9.0,31.3,7.2,18.8,0.385,2.8,9.3,0.298,4.4,9.4,0.471,0.459,4.3,5.0,0.867,1.4,5.4,6.9,9.6,1.4,0.1,3.7,3.1,21.6
37.0,Karl-Anthony Towns,30.0,NYK,C,14.0,14.0,33.2,6.9,16.0,0.429,1.9,5.9,0.317,5.0,10.1,0.493,0.487,5.9,6.8,0.874,3.2,9.6,12.8,3.4,1.0,0.9,2.6,3.9,21.5
38.0,Cam Thomas,24.0,BRK,SG,8.0,8.0,28.3,6.6,16.5,0.402,2.0,5.6,0.356,4.6,10.9,0.425,0.462,6.1,7.0,0.875,0.4,1.0,1.4,2.6,0.5,0.1,2.0,1.9,21.4
39.0,Zion Williamson,25.0,NOP,PF,7.0,7.0,30.9,7.3,14.3,0.51,0.0,0.0,,7.3,14.3,0.51,0.51,6.9,10.3,0.667,2.9,3.3,6.1,4.3,2.0,0.3,3.0,2.3,21.4
40.0,Brandon Ingram,28.0,TOR,SF,16.0,16.0,33.1,7.6,15.3,0.496,1.2,4.1,0.288,6.4,11.1,0.573,0.535,4.8,5.4,0.885,0.6,5.1,5.8,4.0,1.0,0.8,2.8,2.4,21.1
