Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1.0,Tyrese Maxey,25.0,PHI,PG,15.0,15.0,610.0,24.9,0.618,0.413,0.35,0.9,12.2,6.5,33.0,1.9,2.1,9.4,30.7,2.2,0.6,2.8,0.219,6.9,0.7,7.6,1.5
2.0,Trey Murphy III,25.0,NOP,SF,16.0,16.0,569.0,18.3,0.624,0.539,0.272,4.3,16.3,9.8,13.2,2.5,0.7,11.3,21.5,1.1,0.2,1.3,0.109,2.8,-1.0,1.7,0.5
3.0,Franz Wagner,24.0,ORL,SF,16.0,16.0,568.0,18.5,0.578,0.288,0.465,5.6,14.1,10.0,16.9,1.5,1.1,9.0,25.6,1.1,0.7,1.8,0.156,1.8,0.0,1.8,0.5
4.0,Shai Gilgeous-Alexander,27.0,OKC,PG,17.0,17.0,565.0,32.7,0.661,0.276,0.463,1.6,14.1,8.2,34.8,2.1,2.7,7.0,33.6,3.1,1.3,4.4,0.37,9.6,3.2,12.9,2.1
5.0,Devin Booker,29.0,PHO,SG,16.0,16.0,565.0,19.9,0.599,0.292,0.396,3.4,9.8,6.6,32.2,1.3,0.7,15.4,31.3,1.3,0.4,1.7,0.147,2.8,-1.8,1.0,0.4
6.0,VJ Edgecombe,20.0,PHI,SG,15.0,15.0,560.0,11.8,0.503,0.38,0.176,6.1,11.9,8.9,16.1,1.6,1.1,11.1,19.6,0.2,0.5,0.7,0.057,-1.7,-0.6,-2.3,0.0
7.0,Toumani Camara,25.0,POR,PF,16.0,16.0,553.0,9.2,0.526,0.606,0.128,6.3,10.0,8.1,10.6,1.4,1.3,15.5,15.9,0.1,0.2,0.3,0.026,-1.9,-1.3,-3.2,-0.2
8.0,Deni Avdija,25.0,POR,SF,16.0,16.0,550.0,20.6,0.625,0.394,0.482,3.9,18.1,10.6,25.8,0.8,2.0,14.6,27.7,1.4,0.3,1.7,0.152,4.7,-0.7,4.0,0.8
9.0,Evan Mobley,24.0,CLE,PF,16.0,16.0,550.0,17.4,0.559,0.311,0.476,7.8,20.4,13.8,17.2,1.5,4.3,13.6,23.4,0.4,0.8,1.3,0.11,0.8,0.9,1.7,0.5
10.0,Cooper Flagg,19.0,DAL,PG,16.0,16.0,537.0,13.7,0.546,0.286,0.24,3.5,16.0,9.9,15.9,1.8,1.7,12.7,21.3,-0.1,0.8,0.8,0.067,-2.2,0.7,-1.5,0.1
