SEASON_ID,PLAYER_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM_ABBREVIATION,Player_Clean,PRA,PR,PA,RA,STK,FANTASY_PTS,TS_PCT,USG_PROXY,TEAM_MISSING_USG,TEAM_MISSING_MIN
22025,1642349,22500001,2025-10-21,OKC vs. HOU,W,15,6,12,0.5,3,6,0.5,1,1,1.0,1,1,2,2,0,1,0,2,16,2,1,Ajay Mitchell,OKC,ajay mitchell,20,18,18,4,1,24.4,0.6430868167202572,0.8293333333333333,0.0,0.0
22025,201143,22500002,2025-10-21,GSW @ LAL,W,20,2,7,0.286,1,4,0.25,0,0,0.0,0,5,5,1,0,0,2,4,5,-10,1,Al Horford,GSW,al horford,11,10,6,6,0,10.5,0.35714285714285715,0.45,0.0,0.0
22025,1631096,22500001,2025-10-21,OKC vs. HOU,W,38,11,17,0.647,2,5,0.4,4,4,1.0,2,5,7,2,0,0,3,6,28,-1,1,Chet Holmgren,OKC,chet holmgren,37,35,30,9,0,36.4,0.7462686567164178,0.5726315789473685,0.0,0.0
22025,1641708,22500001,2025-10-21,HOU @ OKC,L,39,8,17,0.471,0,7,0.0,2,2,1.0,2,2,4,5,1,1,4,3,18,-11,1,Amen Thompson,HOU,amen thompson,27,22,23,9,2,32.3,0.5033557046979866,0.561025641025641,0.0,0.0
22025,1627741,22500002,2025-10-21,GSW @ LAL,W,22,6,11,0.545,5,10,0.5,0,0,0.0,0,1,1,0,1,0,2,0,17,5,1,Buddy Hield,GSW,buddy hield,18,18,17,1,1,19.2,0.7727272727272727,0.5909090909090909,0.0,0.0
22025,1629637,22500002,2025-10-21,LAL vs. GSW,L,14,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,1,0,0,1,2,4,-6,1,Jaxson Hayes,LAL,jaxson hayes,11,10,5,7,0,11.7,0.6666666666666666,0.2857142857142857,0.0,0.0
22025,1631095,22500001,2025-10-21,HOU @ OKC,L,42,7,15,0.467,2,6,0.333,0,0,0.0,3,2,5,0,1,0,0,4,16,2,1,Jabari Smith Jr.,HOU,jabari smith jr.,21,21,16,5,1,25.0,0.5333333333333333,0.35714285714285715,0.0,0.0
22025,203935,22500002,2025-10-21,LAL vs. GSW,L,23,3,6,0.5,0,3,0.0,3,4,0.75,0,0,0,0,1,0,3,4,9,2,1,Marcus Smart,LAL,marcus smart,9,9,9,0,1,9.0,0.5798969072164949,0.4678260869565217,0.0,0.0
22025,1628392,22500001,2025-10-21,OKC vs. HOU,W,37,2,5,0.4,0,1,0.0,2,2,1.0,5,3,8,5,2,0,1,6,6,9,1,Isaiah Hartenstein,OKC,isaiah hartenstein,19,14,11,13,2,28.1,0.5102040816326531,0.18594594594594593,0.0,0.0
22025,201939,22500002,2025-10-21,GSW @ LAL,W,32,6,14,0.429,3,9,0.333,8,8,1.0,0,1,1,4,3,1,2,3,23,1,1,Stephen Curry,GSW,stephen curry,28,24,27,5,4,40.2,0.656392694063927,0.61,0.0,0.0
22025,1642263,22500001,2025-10-21,HOU @ OKC,L,28,3,11,0.273,2,7,0.286,1,2,0.5,1,1,2,4,1,1,2,1,9,0,1,Reed Sheppard,HOU,reed sheppard,15,11,13,6,2,21.4,0.3787878787878788,0.4957142857142857,0.0,0.0
