OPPONENT_ABBREV,Primary_Pos,DVP_PTS,DVP_REB,DVP_AST,DVP_FG3M,DVP_PRA,DVP_PR,DVP_PA,DVP_RA,DVP_STL,DVP_BLK,DVP_TOV
LAC,PF,12.23,6.9,2.95,0.92,22.08,10.79,8.61,4.92,2.45,0.94,1.39
LAC,PG,17.72,4.44,5.8,2.75,27.96,18.14,19.57,7.86,1.49,0.39,2.85
LAC,SF,16.74,5.72,3.31,2.67,25.77,16.39,14.69,6.53,1.17,0.34,1.69
LAC,SG,15.29,4.81,4.77,2.33,24.87,13.8,13.46,5.74,1.45,0.44,2.31
LAL,C,13.44,8.44,2.69,1.73,24.58,12.29,8.65,7.0,1.39,1.05,2.18
LAL,PF,19.0,6.64,3.12,3.16,28.76,18.09,15.82,7.21,0.84,0.57,2.06
LAL,PG,16.26,3.25,6.56,2.1,26.07,14.3,16.87,6.97,1.72,0.29,4.05
LAL,SF,17.83,5.23,3.03,1.78,26.09,15.76,14.24,5.36,1.22,0.39,2.37
LAL,SG,16.34,5.41,3.52,2.28,25.27,11.83,11.62,4.4,1.71,0.28,2.27
MEM,C,12.76,9.97,3.12,0.64,25.84,14.31,10.44,8.08,1.69,0.97,1.87
MEM,PF,14.18,8.35,3.37,1.73,25.9,15.83,13.06,7.67,0.97,1.32,2.09
MEM,PG,18.31,4.15,6.29,2.76,28.75,18.08,19.12,7.35,0.92,0.18,2.48
MEM,SF,17.96,5.89,3.42,2.54,27.27,17.27,15.65,7.24,1.19,0.66,1.61
MEM,SG,16.84,4.82,3.09,3.11,24.74,13.68,12.95,4.82,1.35,0.62,1.82
MIA,C,15.17,11.54,2.32,1.03,29.03,18.19,12.27,9.16,0.71,1.31,1.92
MIA,PF,15.68,8.06,2.75,1.54,26.5,16.53,13.18,7.06,1.24,0.74,2.18
MIA,PG,17.77,6.56,7.06,2.62,31.39,17.72,18.28,9.62,1.92,0.42,3.35
MIA,SF,15.09,5.74,3.12,1.83,23.95,16.27,14.92,6.96,1.55,0.91,1.86
MIA,SG,16.31,5.9,3.56,2.53,25.77,16.5,15.17,6.57,1.07,0.69,1.8
MIL,C,14.51,10.21,2.17,0.75,26.88,14.87,10.26,7.55,0.91,0.68,2.13
MIL,PF,14.91,7.33,3.56,1.46,25.79,16.08,14.03,7.32,1.03,0.87,2.31
MIL,PG,18.99,5.36,7.03,2.19,31.37,19.03,20.07,8.97,1.75,0.27,2.85
MIL,SF,16.14,6.21,4.16,2.04,26.51,16.35,14.85,7.09,1.14,0.66,1.53
MIL,SG,15.01,4.98,3.41,2.48,23.39,11.4,10.83,4.15,1.39,0.37,1.71
MIN,C,16.53,10.59,2.79,0.55,29.9,16.14,11.75,8.28,1.0,1.17,2.52
MIN,PF,15.67,8.79,2.75,1.73,27.22,17.81,14.78,7.14,1.45,0.5,1.62
MIN,PG,18.5,5.92,7.47,1.93,31.88,19.8,20.48,9.16,1.24,0.26,3.7
MIN,SF,14.15,4.67,3.13,2.06,21.96,13.06,12.09,5.28,0.92,0.68,2.08
