TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612747,Los Angeles Lakers,23,14,9,0.609,1040.0,869,1810,0.48,246,739,0.333,459,606,0.757,229,680,909,532,382.0,213,101,91,483,530,2443,27.0,18,15,9,13,21,22,28,5,33,31,32,20,17,33,34,24,27,26,26,17,34,5,14,19,22,23
1611661320,Los Angeles Sparks,44,21,23,0.477,1775.0,1349,2952,0.457,380,1127,0.337,691,898,0.769,351,1113,1464,911,660.0,319,136,207,742,805,3769,-113.0,1,9,39,26,1,4,8,17,7,6,27,1,2,26,10,10,10,6,41,9,13,41,35,3,2,33
1610612763,Memphis Grizzlies,24,8,16,0.333,1088.0,885,2051,0.431,302,904,0.334,476,593,0.803,269,743,1012,614,371.0,190,105,122,544,521,2548,-67.0,16,36,29,35,17,18,16,38,15,14,31,19,19,9,24,19,16,16,25,25,31,27,28,20,17,29
1610612748,Miami Heat,24,14,10,0.583,1093.0,958,2032,0.471,291,790,0.368,499,634,0.787,223,785,1008,627,383.0,210,113,131,528,547,2706,58.0,16,15,15,15,16,15,17,10,20,24,7,15,15,18,36,15,17,15,28,19,23,30,26,17,16,19
1610612749,Milwaukee Bucks,21,9,12,0.429,978.0,852,1790,0.476,307,791,0.388,319,447,0.714,175,629,804,535,310.0,170,104,95,487,433,2330,-57.0,25,33,20,29,25,27,30,7,11,23,1,41,41,43,43,34,42,25,6,36,32,9,16,38,30,28
1611661324,Minnesota Lynx,44,34,10,0.773,1765.0,1414,2997,0.472,422,1116,0.378,537,707,0.76,376,1128,1504,1026,571.0,361,211,124,704,720,3787,414.0,1,1,15,3,3,1,5,9,2,7,3,13,12,31,7,6,6,1,33,2,3,28,32,13,1,1
1610612750,Minnesota Timberwolves,21,14,7,0.667,968.0,854,1774,0.481,263,716,0.367,422,557,0.758,233,655,888,525,334.0,205,124,94,484,487,2393,132.0,25,15,5,9,32,25,34,4,29,35,8,26,26,32,31,28,33,31,13,20,17,7,15,25,25,8
1610612740,New Orleans Pelicans,21,2,19,0.095,973.0,784,1803,0.435,214,659,0.325,411,544,0.756,282,602,884,435,349.0,190,71,149,471,478,2193,-249.0,25,43,35,43,27,38,29,36,43,40,39,31,29,35,19,40,34,43,19,25,43,33,12,29,38,39
1610612752,New York Knicks,19,10,9,0.526,872.0,756,1690,0.447,272,788,0.345,344,449,0.766,263,589,852,483,275.0,153,86,90,415,423,2128,43.0,42,28,9,22,43,41,40,26,25,25,22,40,40,27,25,42,39,37,2,39,40,3,5,41,40,21
1611661313,New York Liberty,44,27,17,0.614,1760.0,1303,2875,0.453,419,1180,0.355,688,822,0.837,297,1184,1481,960,608.0,336,192,144,714,740,3713,179.0,1,4,32,11,10,9,11,20,4,4,15,2,3,1,15,2,7,2,36,6,5,32,33,9,4,4
