Player Name,Prop Category,Prop Line,GAME_DATE,Matchup,Team,Opponent,Best Pick,Tier,Score,Edge,Win_Prob,Median_Proj,TEAM_MISSING_USG
Paul George,PRA,16.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,S Tier,3.64,3.64,0.5900799,20.142504337603917,26.5
Keldon Johnson,FG3M,1.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.73,-0.73,0.97606385,0.7734043427723167,55.9
Harrison Barnes,REB,3.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,1.01,-1.01,0.9446304,2.491828437450888,55.9
Ryan Rollins,AST,5.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,A Tier,0.84,-0.84,0.9435316,4.664571418880339,37.0
Nicolas Batum,REB,3.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,A Tier,0.38,-0.38,0.94188344,3.1196550232906626,15.5
Kris Dunn,REB,2.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,A Tier,0.7,-0.7,0.9218381,1.8009026637303758,15.5
Harrison Barnes,FG3M,2.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.67,-0.67,0.91190237,1.8345682067837858,55.9
John Collins,REB,5.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,A Tier,1.12,-1.12,0.90517354,4.377656007394224,15.5
Jalen Johnson,REB,8.5,2025-11-20,ATL @ SAS,ATL,SAS,Over,A Tier,0.99,0.99,0.9038453,9.490921671173169,0.0
Santi Aldama,AST,3.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,A Tier,0.92,-0.92,0.88510126,2.579228874035193,57.2
AJ Green,REB,2.5,2025-11-20,MIL vs PHI,MIL,PHI,Over,A Tier,0.44,0.44,0.8839379,2.944345182022203,37.0
Luke Kornet,RA,10.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,1.37,-1.37,0.88022614,9.125695839675718,55.9
Jeremy Sochan,REB,4.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,1.35,-1.35,0.8780469,3.147596846216099,55.9
Devin Vassell,AST,3.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.75,-0.75,0.87551373,2.750788029141789,55.9
