Rank,Team,2026,Last 3,Last 1,Home,Away
1,Orlando,26.3%,23.3%,22.7%,26.7%,26.0%
2,LA Lakers,25.6%,27.0%,23.2%,27.4%,24.3%
3,Detroit,24.1%,28.2%,29.6%,22.5%,25.5%
4,Indiana,23.8%,25.2%,21.5%,24.5%,23.1%
5,Brooklyn,23.6%,24.8%,25.8%,23.3%,23.8%
6,Minnesota,23.5%,25.5%,32.5%,25.1%,22.2%
7,Dallas,23.4%,17.3%,13.3%,24.7%,20.6%
8,Denver,22.7%,19.2%,12.4%,21.9%,23.5%
9,Toronto,22.6%,22.1%,23.3%,22.6%,22.7%
10,Portland,22.5%,24.4%,25.7%,24.1%,21.3%
11,Utah,22.4%,16.8%,14.9%,23.8%,20.8%
12,San Antonio,22.4%,25.3%,20.1%,20.9%,24.5%
13,Houston,22.4%,17.7%,20.0%,23.7%,21.3%
14,Philadelphia,21.9%,18.6%,18.9%,22.4%,21.2%
15,Okla City,21.9%,26.1%,35.2%,22.2%,21.6%
16,Cleveland,21.9%,18.1%,12.2%,21.8%,22.0%
17,Miami,21.6%,20.8%,18.0%,20.0%,23.4%
18,Charlotte,21.4%,21.1%,21.2%,20.2%,22.6%
19,LA Clippers,21.2%,22.5%,22.5%,19.5%,22.5%
20,New Orleans,21.2%,19.0%,8.4%,20.0%,22.8%
21,Golden State,21.1%,20.1%,19.4%,20.6%,21.5%
22,Memphis,21.1%,15.2%,11.6%,23.2%,18.9%
23,Chicago,21.1%,24.8%,27.4%,22.1%,20.3%
24,Sacramento,20.1%,17.8%,9.1%,18.4%,21.7%
25,New York,20.0%,18.4%,16.1%,19.9%,20.1%
26,Atlanta,19.6%,15.1%,13.4%,20.6%,19.1%
27,Phoenix,18.9%,16.2%,17.1%,19.4%,18.2%
28,Washington,18.4%,20.2%,23.3%,18.8%,18.2%
29,Milwaukee,17.8%,13.4%,12.4%,17.8%,17.9%
30,Boston,16.8%,18.2%,21.3%,16.7%,17.0%
