Rank,Team,2026,Last 3,Last 1,Home,Away
1,Memphis,18.0%,11.8%,8.4%,19.6%,16.2%
2,Charlotte,18.4%,17.5%,16.1%,18.5%,18.3%
3,Miami,19.4%,13.8%,12.4%,17.9%,21.2%
4,Golden State,19.9%,20.3%,20.0%,17.0%,21.8%
5,San Antonio,19.9%,17.5%,25.7%,17.3%,23.5%
6,LA Lakers,20.1%,17.6%,22.5%,22.8%,18.2%
7,Philadelphia,20.3%,19.6%,22.7%,22.7%,17.1%
8,Houston,20.6%,20.5%,19.4%,21.1%,20.3%
9,New Orleans,20.7%,18.8%,11.6%,19.5%,22.4%
10,LA Clippers,20.9%,21.9%,23.2%,22.5%,19.6%
11,Okla City,20.9%,23.5%,32.5%,23.0%,19.0%
12,Denver,20.9%,17.3%,13.7%,20.8%,21.1%
13,Sacramento,21.1%,18.3%,17.1%,21.3%,20.9%
14,Atlanta,21.2%,21.1%,23.3%,21.1%,21.3%
15,Utah,21.2%,20.3%,14.6%,22.2%,20.1%
16,New York,21.5%,24.6%,21.2%,19.3%,24.0%
17,Phoenix,21.6%,18.3%,9.1%,22.4%,20.4%
18,Orlando,21.9%,21.6%,18.9%,21.3%,22.5%
19,Cleveland,22.2%,20.8%,15.9%,24.2%,19.6%
20,Chicago,22.3%,25.9%,26.5%,22.4%,22.2%
21,Dallas,22.3%,22.3%,20.1%,21.9%,23.2%
22,Brooklyn,22.3%,17.7%,13.4%,22.7%,22.0%
23,Portland,22.7%,19.2%,20.1%,21.1%,24.0%
24,Toronto,23.3%,20.7%,21.5%,21.8%,24.7%
25,Washington,23.5%,23.5%,13.4%,24.1%,23.0%
26,Minnesota,23.7%,27.0%,35.2%,22.0%,25.0%
27,Milwaukee,24.4%,23.7%,18.0%,22.9%,26.4%
28,Detroit,24.7%,21.2%,21.3%,25.2%,24.2%
29,Boston,24.9%,23.6%,29.6%,24.6%,25.3%
30,Indiana,26.4%,25.9%,23.3%,26.0%,26.7%
