Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
50,Jimmy Butler,36,GSW,SF,17,17,532,0,14,45,40,0,6.6,13.8,15,7,11,1,62,0,214,13,12
51,Devin Vassell,25,SAS,SG,16,16,531,20,66,15,0,0,8.9,10.6,12,4,14,4,13,2,94,3,4
52,Donte DiVincenzo,29,MIN,SG,17,17,530,41,57,2,0,0,10.4,11.6,13,9,19,3,12,5,140,4,2
53,Wendell Carter Jr.,26,ORL,C,18,18,529,0,0,0,0,100,5.9,0.1,11,8,32,9,28,3,84,5,9
54,RJ Barrett,25,TOR,SF,17,17,526,0,58,38,4,0,2.1,-11.3,17,3,26,2,44,2,147,12,21
55,Dennis Schröder,32,SAC,PG,18,12,525,100,0,0,0,0,-12.9,-3.5,20,10,15,2,19,8,256,4,15
56,Onyeka Okongwu,25,ATL,C,18,7,524,0,0,0,11,89,-2.2,-9.5,9,6,34,10,28,1,111,8,11
57,Michael Porter Jr.,27,BRK,SF,16,16,521,0,2,56,42,0,-10.1,2.9,10,10,14,6,30,0,110,11,10
58,Anthony Black,22,ORL,PG,19,4,516,60,40,1,0,0,3.8,-4.6,26,7,31,1,33,3,123,12,14
59,Jaden McDaniels,25,MIN,PF,16,16,513,0,1,95,4,0,7.1,2.3,14,10,26,6,23,3,88,7,14
60,A.J. Green,26,MIL,SG,18,18,511,2,97,1,0,0,-1.3,2.7,7,5,25,2,5,9,74,0,1
61,Josh Giddey,23,CHI,PG,15,15,511,57,43,0,0,0,-2.7,0.6,35,11,21,2,41,4,355,4,13
62,Cade Cunningham,24,DET,PG,14,14,509,88,12,0,0,0,7.7,2.4,37,9,28,3,51,4,323,14,16
63,Russell Westbrook,37,SAC,SF,18,12,508,0,18,69,13,0,-13.4,-4.5,41,8,16,3,25,2,273,2,13
64,Austin Reaves,27,LAL,SG,14,14,508,15,41,44,1,0,8.7,13.1,29,11,19,3,49,12,222,12,10
65,Kevin Durant,37,HOU,SF,14,14,505,0,35,61,4,0,10.0,-3.2,19,17,18,4,37,0,106,10,7
66,Gary Trent Jr.,27,MIL,SG,18,12,504,0,25,74,0,0,-10.2,-18.7,5,5,19,5,11,7,78,3,5
67,Nic Claxton,26,BRK,C,17,17,504,0,0,0,0,100,-11.4,-0.5,7,6,16,5,43,4,163,12,15
68,CJ McCollum,34,WAS,SG,17,17,504,58,42,0,0,0,-10.6,7.6,16,6,18,2,26,0,138,7,10
69,Naji Marshall,28,DAL,SF,19,1,502,0,0,36,59,5,-10.4,-9.0,12,7,16,3,34,0,112,7,12
70,Isaiah Hartenstein,27,OKC,C,18,18,500,0,0,0,0,100,16.7,0.2,16,9,19,11,26,2,143,8,8
71,Ajay Mitchell,23,OKC,SG,18,5,499,17,38,40,5,0,16.5,-0.3,19,8,20,4,30,7,168,10,10
72,Andrew Wiggins,30,MIA,SF,15,15,496,0,29,45,26,0,-0.4,-13.8,10,16,30,2,17,2,104,4,11
73,Nikola Vučević,35,CHI,C,16,16,490,0,0,0,0,100,-6.6,-8.9,12,8,24,6,10,0,128,2,9
74,Harrison Barnes,33,SAS,PF,16,16,487,0,0,12,85,3,4.8,-2.4,11,6,11,4,13,4,82,2,3
75,Cason Wallace,22,OKC,SG,17,17,486,17,66,17,0,0,18.0,3.1,14,5,18,0,6,0,100,1,5
76,Jerami Grant,31,POR,PF,17,5,485,0,0,45,52,3,-3.9,-4.2,9,14,22,6,55,0,108,12,16
77,Herbert Jones,27,NOP,SF,16,16,484,0,65,32,4,0,-12.7,-2.3,16,5,24,0,10,3,86,3,11
78,Luka Dončić,26,LAL,PG,13,13,484,85,15,0,0,0,6.6,7.3,37,11,13,2,72,9,278,21,6
79,Jeremiah Fears,19,NOP,PG,18,16,482,95,5,0,0,0,-18.5,-15.2,26,11,11,5,27,3,116,9,19
80,Santi Aldama,25,MEM,PF,18,2,479,0,0,4,89,6,-1.9,6.4,10,7,14,3,18,2,124,8,6
