Rank,Team,2026,Last 3,Last 1,Home,Away
1,Houston,73.3%,77.6%,85.7%,70.2%,75.8%
2,Dallas,74.2%,77.2%,70.8%,74.4%,73.8%
3,Okla City,76.1%,69.5%,59.5%,73.2%,79.2%
4,Minnesota,76.7%,82.1%,78.9%,71.5%,80.4%
5,Brooklyn,77.1%,82.5%,78.6%,73.5%,80.5%
6,Indiana,77.6%,79.1%,81.5%,76.9%,78.2%
7,Memphis,77.7%,85.0%,90.0%,75.3%,80.8%
8,Philadelphia,77.7%,74.6%,82.1%,75.6%,81.6%
9,Chicago,77.7%,75.8%,68.6%,77.6%,77.8%
10,Orlando,78.2%,81.9%,90.9%,75.6%,80.8%
11,Denver,78.7%,82.8%,86.7%,79.7%,77.8%
12,Washington,78.7%,78.8%,75.0%,80.2%,77.6%
13,San Antonio,78.9%,64.4%,63.3%,81.4%,76.3%
14,Milwaukee,79.0%,75.3%,90.0%,80.3%,77.4%
15,New York,79.3%,78.0%,75.0%,76.9%,81.4%
16,Detroit,79.3%,81.4%,87.5%,75.6%,82.5%
17,Atlanta,79.3%,78.6%,65.4%,86.5%,75.3%
18,Charlotte,79.4%,82.8%,88.9%,78.9%,79.9%
19,Phoenix,80.1%,83.6%,80.0%,77.8%,83.6%
20,Miami,80.1%,77.6%,64.3%,79.2%,81.0%
21,LA Lakers,80.2%,85.0%,87.5%,81.4%,79.0%
22,LA Clippers,80.2%,80.6%,84.6%,82.5%,78.1%
23,New Orleans,80.2%,76.9%,85.7%,78.3%,82.6%
24,Sacramento,80.3%,80.0%,70.0%,84.4%,76.3%
25,Toronto,80.4%,80.6%,60.9%,76.9%,83.0%
26,Boston,80.4%,76.5%,80.6%,78.1%,83.3%
27,Utah,80.5%,77.1%,72.2%,83.5%,76.6%
28,Cleveland,80.5%,84.3%,66.7%,80.3%,81.0%
29,Golden State,81.3%,73.0%,62.5%,81.1%,81.5%
30,Portland,81.9%,80.3%,88.0%,83.7%,80.8%
