Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1.0,Tyrese Maxey,25.0,PHI,PG,17.0,17.0,679.0,0.47,0.516,0.409,0.557,0.878,0.613,0.337,0.422,100.0,94.0,114.0,102.0,111.0,105.0,119.0,101.0,9.7,27.0
2.0,Franz Wagner,24.0,ORL,SF,19.0,19.0,656.0,0.477,0.523,0.357,0.526,0.824,0.597,0.47,0.278,102.0,95.0,100.0,97.0,104.0,102.0,166.0,67.0,-10.6,9.9
3.0,Devin Booker,29.0,PHO,SG,18.0,18.0,640.0,0.469,0.527,0.333,0.519,0.872,0.592,0.416,0.301,100.0,96.0,93.0,95.0,110.0,102.0,147.0,72.0,-16.9,7.2
4.0,Trey Murphy III,25.0,NOP,SF,18.0,18.0,636.0,0.462,0.571,0.372,0.564,0.929,0.616,0.265,0.549,99.0,104.0,104.0,104.0,118.0,106.0,94.0,131.0,10.7,19.1
5.0,Dyson Daniels,22.0,ATL,SG,19.0,19.0,626.0,0.486,0.537,0.192,0.5,0.64,0.514,0.145,0.15,104.0,98.0,54.0,92.0,81.0,88.0,51.0,36.0,-15.2,-25.6
6.0,Desmond Bane,27.0,ORL,SG,19.0,19.0,615.0,0.433,0.486,0.333,0.491,0.928,0.548,0.256,0.344,92.0,89.0,93.0,90.0,117.0,94.0,90.0,82.0,-28.8,-21.3
7.0,Evan Mobley,24.0,CLE,PF,18.0,18.0,615.0,0.496,0.556,0.36,0.551,0.593,0.572,0.463,0.307,106.0,101.0,100.0,101.0,75.0,98.0,163.0,74.0,3.5,-6.6
8.0,Toumani Camara,25.0,POR,PF,18.0,18.0,611.0,0.411,0.551,0.319,0.508,0.708,0.523,0.122,0.604,88.0,101.0,89.0,93.0,90.0,90.0,43.0,144.0,-14.4,-25.1
9.0,Deni Avdija,25.0,POR,SF,18.0,18.0,605.0,0.469,0.533,0.374,0.545,0.825,0.612,0.472,0.406,100.0,97.0,104.0,100.0,105.0,105.0,167.0,97.0,0.3,21.2
10.0,James Harden,36.0,LAC,PG,17.0,17.0,605.0,0.451,0.545,0.378,0.557,0.905,0.639,0.48,0.562,96.0,99.0,105.0,102.0,115.0,110.0,170.0,134.0,8.0,41.6
11.0,Lauri Markkanen,28.0,UTA,PF,17.0,17.0,605.0,0.473,0.546,0.377,0.555,0.893,0.612,0.323,0.435,101.0,100.0,105.0,102.0,113.0,105.0,114.0,104.0,7.4,22.8
12.0,Cooper Flagg,19.0,DAL,PG,18.0,18.0,604.0,0.451,0.525,0.261,0.488,0.793,0.527,0.236,0.28,96.0,96.0,73.0,90.0,100.0,90.0,83.0,67.0,-27.7,-30.7
13.0,Brandon Ingram,28.0,TOR,SF,18.0,18.0,602.0,0.486,0.552,0.317,0.531,0.859,0.585,0.315,0.281,104.0,101.0,88.0,98.0,109.0,100.0,111.0,67.0,-7.7,1.2
14.0,Shai Gilgeous-Alexander,27.0,OKC,PG,18.0,18.0,595.0,0.543,0.592,0.412,0.599,0.898,0.671,0.465,0.27,116.0,108.0,115.0,110.0,114.0,115.0,164.0,65.0,39.4,75.5
15.0,Miles Bridges,27.0,CHO,PF,17.0,17.0,594.0,0.419,0.493,0.342,0.503,0.902,0.56,0.275,0.49,89.0,90.0,95.0,93.0,114.0,96.0,97.0,117.0,-24.3,-15.7
16.0,Scottie Barnes,24.0,TOR,PF,18.0,18.0,593.0,0.513,0.545,0.4,0.558,0.821,0.589,0.208,0.223,109.0,100.0,111.0,102.0,104.0,101.0,73.0,53.0,7.3,3.5
17.0,Nikola Jokić,30.0,DEN,C,17.0,17.0,592.0,0.626,0.701,0.434,0.687,0.853,0.729,0.395,0.282,133.0,128.0,121.0,126.0,108.0,125.0,139.0,68.0,84.1,100.5
18.0,Keyonte George,22.0,UTA,PG,17.0,17.0,589.0,0.444,0.53,0.319,0.509,0.908,0.59,0.419,0.408,95.0,97.0,89.0,94.0,115.0,101.0,148.0,98.0,-20.0,4.7
19.0,DeMar DeRozan,36.0,SAC,PF,18.0,18.0,588.0,0.5,0.525,0.361,0.527,0.896,0.601,0.403,0.151,107.0,96.0,101.0,97.0,113.0,103.0,142.0,36.0,-8.0,10.1
20.0,Donovan Mitchell,29.0,CLE,SG,17.0,17.0,578.0,0.503,0.626,0.383,0.6,0.832,0.643,0.327,0.506,107.0,114.0,107.0,110.0,105.0,110.0,115.0,121.0,38.5,47.4
21.0,Jalen Johnson,24.0,ATL,SF,17.0,17.0,576.0,0.547,0.594,0.386,0.591,0.802,0.63,0.319,0.224,117.0,108.0,108.0,109.0,102.0,108.0,113.0,54.0,23.6,27.2
22.0,Ivica Zubac,28.0,LAC,C,18.0,18.0,572.0,0.61,0.61,,0.61,0.733,0.629,0.206,0.0,130.0,111.0,,112.0,93.0,108.0,73.0,0.0,28.8,21.6
