CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
203999,Nikola Jokić,1610612743,DEN,C,30.0,17,17,1.0,166,321,0.517,0.484,0.033
1630596,Evan Mobley,1610612739,CLE,C,24.0,18,18,1.0,148,316,0.468,0.495,-0.027
1642270,Donovan Clingan,1610612757,POR,C,21.0,19,19,1.0,131,313,0.419,0.506,-0.087
203497,Rudy Gobert,1610612750,MIN,C,33.0,18,18,1.0,130,298,0.436,0.496,-0.06
202696,Nikola Vučević,1610612741,CHI,C,35.0,16,16,1.0,144,297,0.485,0.498,-0.013
1642259,Alex Sarr,1610612764,WAS,C,20.0,15,15,1.0,147,296,0.497,0.497,0.0
1629023,P.J. Washington,1610612742,DAL,F,27.0,18,18,1.0,119,284,0.419,0.476,-0.057
1627826,Ivica Zubac,1610612746,LAC,C,28.0,18,18,1.0,135,284,0.475,0.502,-0.026
1642843,Cooper Flagg,1610612742,DAL,F,18.0,18,18,1.0,134,284,0.472,0.463,0.009
1630578,Alperen Sengun,1610612745,HOU,C,23.0,16,16,1.0,132,281,0.47,0.487,-0.017
1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,19,19,1.0,139,273,0.509,0.462,0.047
1642852,Derik Queen,1610612740,NOP,C,20.0,19,19,1.0,134,271,0.494,0.494,0.001
1631170,Jaime Jaquez Jr.,1610612748,MIA,G,24.0,18,18,1.0,108,270,0.4,0.462,-0.062
1630183,Jaden McDaniels,1610612750,MIN,F,25.0,17,17,1.0,122,265,0.46,0.471,-0.011
1641739,Toumani Camara,1610612757,POR,F,25.0,19,19,1.0,128,261,0.49,0.48,0.011
1630166,Deni Avdija,1610612757,POR,F,24.0,19,19,1.0,132,260,0.508,0.478,0.029
1627783,Pascal Siakam,1610612754,IND,F,31.0,17,17,1.0,130,260,0.5,0.482,0.018
1630532,Franz Wagner,1610612753,ORL,F,24.0,19,19,1.0,117,258,0.453,0.477,-0.023
1642273,Kyshawn George,1610612764,WAS,F,21.0,15,15,1.0,126,255,0.494,0.47,0.025
1626167,Myles Turner,1610612749,MIL,C-F,29.0,18,18,1.0,132,254,0.52,0.487,0.032
1642276,Kel'el Ware,1610612748,MIA,C,21.0,18,18,1.0,118,252,0.468,0.504,-0.036
1641750,Ryan Kalkbrenner,1610612766,CHA,C,23.0,16,16,1.0,120,251,0.478,0.484,-0.006
1630168,Onyeka Okongwu,1610612737,ATL,F-C,24.0,18,18,1.0,124,250,0.496,0.497,-0.001
1630700,Dyson Daniels,1610612737,ATL,G,22.0,19,19,1.0,120,250,0.48,0.465,0.015
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,30.0,17,17,1.0,105,249,0.422,0.477,-0.055
1630530,Trey Murphy III,1610612740,NOP,F,25.0,19,19,1.0,129,249,0.518,0.474,0.044
1631157,Ryan Rollins,1610612749,MIL,G,23.0,18,18,1.0,108,245,0.441,0.461,-0.02
1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,26.0,17,17,1.0,113,243,0.465,0.482,-0.017
1628392,Isaiah Hartenstein,1610612760,OKC,C-F,27.0,19,19,1.0,100,243,0.412,0.477,-0.065
1629651,Nic Claxton,1610612751,BKN,C,26.0,17,17,1.0,112,241,0.465,0.493,-0.029
1630583,Santi Aldama,1610612763,MEM,F-C,24.0,19,19,1.0,109,239,0.456,0.477,-0.021
1642907,Cedric Coward,1610612763,MEM,G,22.0,19,19,1.0,106,238,0.445,0.462,-0.016
1631109,Mark Williams,1610612756,PHX,C,23.0,16,16,1.0,116,237,0.489,0.489,0.001
1628401,Derrick White,1610612738,BOS,G,31.0,18,18,1.0,106,236,0.449,0.46,-0.011
1641730,Noah Clowney,1610612751,BKN,F-C,21.0,17,17,1.0,127,235,0.54,0.483,0.057
1631217,Moussa Diabaté,1610612766,CHA,F,23.0,18,18,1.0,122,233,0.524,0.5,0.024
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,18,18,1.0,90,228,0.395,0.493,-0.098
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,27.0,19,19,1.0,95,228,0.417,0.448,-0.032
203110,Draymond Green,1610612744,GSW,F,35.0,17,17,1.0,95,228,0.417,0.485,-0.068
1641710,Anthony Black,1610612753,ORL,G,21.0,19,19,1.0,114,227,0.502,0.461,0.041
1630178,Tyrese Maxey,1610612755,PHI,G,25.0,17,17,1.0,113,227,0.498,0.455,0.042
1641718,Keyonte George,1610612762,UTA,G,22.0,17,17,1.0,117,224,0.522,0.472,0.051
1626220,Royce O'Neale,1610612756,PHX,F,32.0,19,19,1.0,96,223,0.43,0.462,-0.032
1641824,Matas Buzelis,1610612741,CHI,F,21.0,17,17,1.0,101,223,0.453,0.483,-0.03
1626164,Devin Booker,1610612756,PHX,G,29.0,19,19,1.0,102,223,0.457,0.455,0.002
203952,Andrew Wiggins,1610612748,MIA,F,30.0,15,15,1.0,97,222,0.437,0.47,-0.033
1629628,RJ Barrett,1610612761,TOR,F-G,25.0,17,17,1.0,103,221,0.466,0.461,0.006
1630581,Josh Giddey,1610612741,CHI,G,23.0,15,15,1.0,94,221,0.425,0.466,-0.041
1642851,Kon Knueppel,1610612766,CHA,G-F,20.0,18,18,1.0,91,219,0.416,0.476,-0.06
1631260,AJ Green,1610612749,MIL,G,26.0,18,18,1.0,105,219,0.479,0.468,0.011
1629130,Duncan Robinson,1610612765,DET,F,31.0,18,18,1.0,100,219,0.457,0.454,0.002
1630558,Davion Mitchell,1610612748,MIA,G,27.0,18,18,1.0,100,218,0.459,0.458,0.0
203944,Julius Randle,1610612750,MIN,F-C,30.0,18,18,1.0,89,217,0.41,0.487,-0.077
1628970,Miles Bridges,1610612766,CHA,F,27.0,18,18,1.0,105,217,0.484,0.484,-0.001
203897,Zach LaVine,1610612758,SAC,G,30.0,17,17,1.0,119,216,0.551,0.485,0.066
1629028,Deandre Ayton,1610612747,LAL,C,27.0,15,15,1.0,94,216,0.435,0.475,-0.04
201935,James Harden,1610612746,LAC,G,36.0,17,17,1.0,105,215,0.488,0.473,0.016
1630193,Immanuel Quickley,1610612761,TOR,G,26.0,19,19,1.0,88,215,0.409,0.447,-0.038
1641705,Victor Wembanyama,1610612759,SAS,F-C,21.0,12,12,1.0,85,214,0.397,0.48,-0.083
1627742,Brandon Ingram,1610612761,TOR,F,28.0,19,19,1.0,97,213,0.455,0.453,0.003
1627759,Jaylen Brown,1610612738,BOS,G-F,29.0,18,18,1.0,89,213,0.418,0.467,-0.05
1631108,Max Christie,1610612742,DAL,G,22.0,19,19,1.0,100,212,0.472,0.466,0.006
1627750,Jamal Murray,1610612743,DEN,G,28.0,16,16,1.0,96,211,0.455,0.461,-0.006
1642847,Jeremiah Fears,1610612740,NOP,G,19.0,19,19,1.0,113,210,0.538,0.469,0.069
1629029,Luka Dončić,1610612747,LAL,F-G,26.0,13,13,1.0,103,210,0.49,0.461,0.03
1628374,Lauri Markkanen,1610612762,UTA,F-C,28.0,17,17,1.0,99,209,0.474,0.486,-0.013
1630217,Desmond Bane,1610612753,ORL,G,27.0,19,19,1.0,95,209,0.455,0.458,-0.004
1641717,Cason Wallace,1610612760,OKC,G,22.0,18,18,1.0,91,209,0.435,0.459,-0.023
203468,CJ McCollum,1610612764,WAS,G,34.0,17,17,1.0,96,209,0.459,0.465,-0.006
203083,Andre Drummond,1610612755,PHI,C,32.0,16,16,1.0,105,208,0.505,0.506,-0.002
1642845,VJ Edgecombe,1610612755,PHI,G,20.0,15,15,1.0,99,207,0.478,0.473,0.005
1628969,Mikal Bridges,1610612752,NYK,G-F,29.0,17,17,1.0,95,207,0.459,0.466,-0.007
