Rank,Team,2026,Last 3,Last 1,Home,Away
1,Boston,5.7%,4.4%,5.0%,4.6%,7.0%
2,New York,6.9%,5.0%,4.8%,6.9%,6.9%
3,Indiana,7.0%,7.1%,8.7%,7.4%,6.7%
4,Okla City,7.3%,7.1%,3.9%,8.0%,6.7%
5,Minnesota,7.6%,9.4%,7.9%,7.6%,7.6%
6,Denver,7.6%,7.4%,6.1%,7.2%,8.0%
7,Memphis,7.7%,6.2%,9.1%,7.8%,7.5%
8,Orlando,7.7%,5.8%,6.5%,8.4%,7.0%
9,Toronto,7.7%,7.5%,6.7%,7.8%,7.7%
10,Philadelphia,7.8%,7.4%,9.2%,7.4%,8.4%
11,Cleveland,8.0%,7.9%,7.8%,8.4%,7.4%
12,Brooklyn,8.0%,8.5%,6.3%,8.9%,7.3%
13,Detroit,8.1%,9.1%,8.9%,8.3%,7.9%
14,San Antonio,8.1%,6.5%,2.9%,8.6%,7.4%
15,Charlotte,8.1%,8.6%,11.5%,8.8%,7.4%
16,Atlanta,8.1%,7.2%,12.3%,9.2%,7.5%
17,Golden State,8.2%,7.2%,7.4%,7.6%,8.6%
18,Sacramento,8.2%,7.7%,14.0%,9.2%,7.3%
19,Houston,8.2%,8.6%,8.4%,7.0%,9.1%
20,Milwaukee,8.2%,8.9%,8.8%,8.6%,7.8%
21,New Orleans,8.3%,5.9%,8.2%,7.9%,8.9%
22,Miami,8.7%,7.0%,6.9%,8.7%,8.6%
23,Chicago,8.7%,10.5%,11.5%,8.6%,8.7%
24,Dallas,9.1%,9.1%,7.6%,9.1%,9.2%
25,LA Lakers,9.1%,8.5%,7.0%,8.2%,9.8%
26,Phoenix,9.2%,8.7%,9.0%,9.4%,8.9%
27,Utah,9.3%,10.3%,10.3%,9.7%,8.8%
28,LA Clippers,9.7%,8.0%,9.0%,10.2%,9.3%
29,Washington,10.1%,6.9%,3.8%,9.2%,10.7%
30,Portland,10.1%,10.2%,11.5%,10.2%,10.0%
