Rank,Team,2026,Last 3,Last 1,Home,Away
1,Orlando,20.6%,16.7%,16.0%,21.9%,19.3%
2,Indiana,20.0%,19.9%,14.7%,19.7%,20.2%
3,LA Lakers,19.3%,19.1%,16.3%,19.4%,19.2%
4,Dallas,18.9%,15.8%,13.7%,20.0%,16.5%
5,Brooklyn,18.8%,18.9%,20.0%,19.1%,18.6%
6,Utah,18.8%,13.4%,10.3%,19.2%,18.2%
7,Portland,18.4%,18.9%,18.6%,19.5%,17.6%
8,Detroit,17.7%,20.0%,25.4%,17.7%,17.8%
9,Charlotte,17.7%,18.0%,17.8%,16.9%,18.5%
10,Memphis,17.7%,12.9%,9.0%,18.9%,16.3%
11,Philadelphia,17.5%,16.3%,19.4%,17.9%,17.0%
12,LA Clippers,17.5%,18.1%,17.8%,15.3%,19.4%
13,Denver,17.5%,14.2%,8.8%,17.2%,17.7%
14,Golden State,17.5%,16.0%,18.0%,15.3%,19.0%
15,Minnesota,17.4%,19.4%,21.0%,18.5%,16.5%
16,San Antonio,17.3%,20.5%,19.1%,16.1%,19.1%
17,Okla City,17.3%,17.4%,26.5%,17.4%,17.2%
18,Houston,17.1%,13.1%,14.4%,17.6%,16.8%
19,New Orleans,17.0%,14.4%,7.0%,16.3%,17.9%
20,Toronto,16.8%,18.4%,22.7%,16.6%,17.0%
21,Miami,16.7%,16.2%,17.0%,16.3%,17.0%
22,Chicago,16.4%,19.6%,18.5%,17.2%,15.7%
23,Cleveland,16.3%,13.9%,13.1%,16.0%,16.8%
24,Sacramento,15.9%,16.2%,8.0%,15.1%,16.6%
25,New York,15.4%,13.5%,12.4%,15.9%,14.9%
26,Phoenix,15.1%,12.1%,12.5%,15.0%,15.2%
27,Atlanta,15.0%,11.1%,10.6%,17.4%,13.6%
28,Washington,14.2%,14.6%,12.9%,14.8%,13.8%
29,Boston,12.9%,13.3%,17.9%,13.0%,12.7%
30,Milwaukee,12.3%,10.2%,8.7%,12.1%,12.5%
