Rank,Team,2026,Last 3,Last 1,Home,Away
1,Boston,5.0%,3.9%,4.4%,4.1%,6.3%
2,New York,6.1%,4.6%,4.5%,6.1%,6.2%
3,Indiana,6.2%,6.7%,8.4%,6.7%,5.9%
4,Okla City,6.7%,6.7%,3.7%,7.3%,6.1%
5,Denver,6.8%,6.6%,5.3%,6.4%,7.2%
6,Minnesota,6.8%,8.3%,7.0%,6.8%,6.9%
7,Memphis,6.9%,5.4%,8.3%,7.1%,6.7%
8,Orlando,6.9%,5.1%,5.7%,7.6%,6.2%
9,Philadelphia,7.0%,6.7%,8.6%,6.6%,7.5%
10,Houston,7.1%,7.2%,6.7%,6.0%,7.9%
11,Toronto,7.1%,6.9%,6.0%,7.1%,7.0%
12,Detroit,7.2%,8.1%,7.4%,7.2%,7.1%
13,Cleveland,7.2%,7.3%,7.5%,7.6%,6.6%
14,Charlotte,7.2%,7.8%,10.6%,8.0%,6.6%
15,Brooklyn,7.2%,7.8%,5.5%,8.0%,6.6%
16,San Antonio,7.3%,5.7%,2.4%,7.8%,6.5%
17,New Orleans,7.3%,5.2%,7.5%,6.9%,7.9%
18,Golden State,7.4%,6.4%,6.5%,6.9%,7.8%
19,Atlanta,7.4%,6.5%,10.9%,8.4%,6.9%
20,Sacramento,7.6%,7.0%,12.7%,8.5%,6.7%
21,Milwaukee,7.6%,8.2%,8.0%,8.0%,7.1%
22,Miami,7.9%,6.2%,6.3%,8.0%,7.8%
23,Chicago,7.9%,9.6%,11.1%,7.8%,8.0%
24,Phoenix,8.1%,7.7%,7.7%,8.4%,7.8%
25,Utah,8.2%,9.3%,9.1%,8.5%,7.9%
26,Dallas,8.3%,8.1%,6.6%,8.3%,8.3%
27,LA Lakers,8.4%,7.8%,6.3%,7.5%,9.0%
28,LA Clippers,8.8%,7.3%,8.4%,9.3%,8.5%
29,Portland,8.8%,9.0%,10.3%,9.0%,8.7%
30,Washington,9.2%,6.4%,3.6%,8.5%,9.7%
