Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
122.0,P.J. Washington,26.0,DAL,PF,57.0,56.0,1835.0,0.453,0.493,0.381,0.521,0.722,0.556,0.298,0.359,97.0,90.0,106.0,96.0,93.0,96.0,123.0,85.0,-29.3,-30.7
123.0,CJ McCollum,33.0,NOP,PG,56.0,56.0,1832.0,0.444,0.505,0.373,0.53,0.717,0.55,0.173,0.459,95.0,93.0,103.0,98.0,92.0,95.0,71.0,109.0,-27.1,-57.1
124.0,Haywood Highsmith,28.0,MIA,SF,74.0,42.0,1818.0,0.458,0.57,0.382,0.572,0.721,0.583,0.11,0.596,98.0,105.0,106.0,105.0,92.0,101.0,45.0,141.0,22.3,5.6
125.0,Dorian Finney-Smith,31.0,2TM,PF,63.0,40.0,1818.0,0.448,0.545,0.411,0.597,0.667,0.604,0.103,0.722,96.0,100.0,114.0,110.0,85.0,105.0,43.0,171.0,46.5,24.9
125.0,Dorian Finney-Smith,31.0,BRK,PF,20.0,20.0,579.0,0.459,0.51,0.435,0.607,0.625,0.613,0.151,0.679,98.0,94.0,121.0,112.0,80.0,106.0,62.0,161.0,20.3,12.6
125.0,Dorian Finney-Smith,31.0,LAL,PF,43.0,20.0,1239.0,0.442,0.571,0.398,0.591,0.714,0.598,0.076,0.746,95.0,105.0,111.0,109.0,92.0,104.0,31.0,177.0,26.2,12.3
126.0,Alex Sarr,19.0,WAS,C,67.0,67.0,1814.0,0.394,0.454,0.308,0.457,0.679,0.482,0.199,0.412,84.0,83.0,85.0,84.0,87.0,84.0,82.0,98.0,-142.3,-168.8
127.0,Kyrie Irving,32.0,DAL,SG,50.0,50.0,1804.0,0.473,0.517,0.401,0.549,0.916,0.594,0.226,0.38,101.0,95.0,111.0,101.0,117.0,103.0,93.0,90.0,11.6,36.5
128.0,Kyshawn George,21.0,WAS,SG,68.0,38.0,1802.0,0.372,0.464,0.322,0.476,0.753,0.503,0.17,0.648,80.0,85.0,89.0,88.0,97.0,87.0,70.0,154.0,-73.0,-86.4
129.0,Cameron Johnson,28.0,BRK,PF,57.0,57.0,1800.0,0.475,0.578,0.39,0.582,0.893,0.632,0.301,0.546,102.0,106.0,108.0,107.0,115.0,110.0,124.0,130.0,57.7,95.1
130.0,Duncan Robinson,30.0,MIA,SF,74.0,37.0,1785.0,0.437,0.556,0.393,0.581,0.887,0.595,0.08,0.729,94.0,102.0,109.0,107.0,114.0,103.0,33.0,173.0,49.9,26.1
131.0,Kris Dunn,30.0,LAC,PG,74.0,58.0,1783.0,0.439,0.549,0.335,0.525,0.682,0.531,0.05,0.513,94.0,101.0,93.0,97.0,87.0,92.0,21.0,122.0,-15.6,-40.7
132.0,Luka Dončić,25.0,2TM,PG,50.0,50.0,1769.0,0.45,0.522,0.368,0.536,0.782,0.587,0.385,0.469,96.0,96.0,102.0,99.0,100.0,102.0,159.0,111.0,-14.2,26.6
132.0,Luka Dončić,25.0,DAL,PG,22.0,22.0,785.0,0.464,0.555,0.354,0.544,0.767,0.584,0.313,0.455,99.0,102.0,98.0,100.0,98.0,101.0,129.0,108.0,0.9,8.0
132.0,Luka Dončić,25.0,LAL,PG,28.0,28.0,984.0,0.438,0.493,0.379,0.53,0.791,0.59,0.445,0.481,94.0,90.0,105.0,98.0,101.0,102.0,183.0,114.0,-15.1,18.6
133.0,Scoot Henderson,20.0,POR,PG,66.0,10.0,1759.0,0.419,0.469,0.354,0.496,0.767,0.54,0.301,0.434,90.0,86.0,98.0,91.0,98.0,94.0,124.0,103.0,-65.0,-56.8
134.0,Wendell Carter Jr.,25.0,ORL,C,68.0,51.0,1758.0,0.46,0.568,0.234,0.498,0.737,0.544,0.356,0.322,99.0,104.0,65.0,92.0,95.0,94.0,147.0,76.0,-44.3,-36.6
135.0,Collin Sexton,26.0,UTA,SG,63.0,61.0,1758.0,0.48,0.513,0.406,0.543,0.865,0.593,0.29,0.313,103.0,94.0,113.0,100.0,111.0,103.0,119.0,74.0,0.3,32.6
136.0,Mike Conley,37.0,MIN,PG,71.0,64.0,1756.0,0.4,0.38,0.41,0.535,0.9,0.573,0.192,0.662,86.0,70.0,114.0,99.0,115.0,99.0,79.0,157.0,-7.3,-2.9
137.0,Amir Coffey,27.0,LAC,SG,72.0,13.0,1748.0,0.471,0.529,0.409,0.57,0.891,0.614,0.253,0.484,101.0,97.0,114.0,105.0,114.0,107.0,104.0,115.0,27.1,42.9
138.0,Jimmy Butler,35.0,2TM,SF,55.0,55.0,1746.0,0.504,0.546,0.308,0.531,0.842,0.626,0.657,0.174,108.0,100.0,85.0,98.0,108.0,109.0,270.0,41.0,-14.5,77.3
138.0,Jimmy Butler,35.0,MIA,PF,25.0,25.0,766.0,0.54,0.568,0.361,0.565,0.801,0.638,0.612,0.137,116.0,104.0,100.0,104.0,103.0,111.0,252.0,33.0,11.3,41.3
138.0,Jimmy Butler,35.0,GSW,SF,30.0,30.0,980.0,0.476,0.526,0.279,0.504,0.87,0.617,0.692,0.204,102.0,97.0,78.0,93.0,112.0,107.0,285.0,48.0,-25.8,36.0
139.0,Aaron Wiggins,26.0,OKC,SG,76.0,26.0,1744.0,0.488,0.578,0.383,0.577,0.831,0.596,0.122,0.466,104.0,106.0,106.0,106.0,107.0,103.0,50.0,111.0,49.3,29.9
140.0,Walker Kessler,23.0,UTA,C,58.0,58.0,1740.0,0.663,0.706,0.176,0.671,0.52,0.66,0.363,0.081,142.0,130.0,49.0,123.0,67.0,114.0,149.0,19.0,106.9,81.1
141.0,De'Andre Hunter,27.0,2TM,SF,64.0,9.0,1740.0,0.47,0.537,0.405,0.573,0.846,0.623,0.333,0.509,101.0,99.0,112.0,105.0,109.0,108.0,137.0,121.0,45.3,81.1
141.0,De'Andre Hunter,27.0,ATL,SF,37.0,4.0,1064.0,0.461,0.531,0.393,0.56,0.858,0.616,0.358,0.502,99.0,97.0,109.0,103.0,110.0,107.0,147.0,119.0,16.6,45.8
141.0,De'Andre Hunter,27.0,CLE,SF,27.0,5.0,676.0,0.485,0.55,0.426,0.596,0.821,0.634,0.289,0.522,104.0,101.0,118.0,110.0,105.0,110.0,119.0,124.0,28.7,35.3
142.0,Ochai Agbaji,24.0,TOR,SG,64.0,45.0,1739.0,0.498,0.587,0.399,0.593,0.708,0.601,0.09,0.474,107.0,108.0,111.0,109.0,91.0,104.0,37.0,112.0,53.0,27.3
143.0,Brandin Podziemski,21.0,GSW,SG,64.0,33.0,1716.0,0.445,0.516,0.372,0.537,0.758,0.557,0.151,0.491,95.0,95.0,103.0,99.0,97.0,97.0,62.0,117.0,-8.2,-26.0
144.0,Jabari Smith Jr.,21.0,HOU,PF,57.0,39.0,1716.0,0.438,0.519,0.354,0.525,0.825,0.562,0.223,0.489,94.0,95.0,98.0,97.0,106.0,97.0,92.0,116.0,-20.8,-18.1
145.0,Anthony Davis,31.0,2TM,C,51.0,51.0,1706.0,0.516,0.553,0.282,0.536,0.775,0.588,0.405,0.136,111.0,102.0,78.0,99.0,99.0,102.0,167.0,32.0,-13.4,25.2
145.0,Anthony Davis,31.0,LAL,C,42.0,42.0,1440.0,0.528,0.56,0.298,0.546,0.788,0.601,0.423,0.124,113.0,103.0,83.0,101.0,101.0,104.0,174.0,29.0,4.7,44.7
