Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,10.4%,11.9%,7.4%,9.8%,11.0%
2,Boston,10.9%,11.6%,14.8%,10.7%,11.0%
3,Cleveland,11.4%,13.4%,10.2%,11.6%,11.3%
4,Sacramento,11.8%,13.2%,16.0%,12.1%,11.5%
5,Houston,11.9%,11.3%,10.5%,11.9%,11.8%
6,New York,11.9%,14.4%,15.6%,11.8%,12.1%
7,Indiana,11.9%,16.7%,21.3%,11.9%,12.0%
8,Milwaukee,12.1%,11.5%,14.8%,12.5%,11.7%
9,Philadelphia,12.2%,13.0%,12.5%,11.7%,12.7%
10,San Antonio,12.2%,12.9%,10.6%,12.2%,12.2%
11,Golden State,12.3%,13.8%,14.2%,12.4%,12.2%
12,Dallas,12.4%,13.2%,14.5%,12.0%,12.9%
13,Miami,12.5%,15.7%,16.4%,12.1%,12.8%
14,Denver,12.6%,15.7%,19.6%,12.2%,13.1%
15,Chicago,12.6%,12.6%,16.7%,12.6%,12.7%
16,Orlando,12.7%,11.1%,10.9%,12.9%,12.4%
17,LA Lakers,12.7%,14.4%,14.1%,12.5%,12.8%
18,Phoenix,12.7%,11.9%,12.9%,12.4%,13.1%
19,New Orleans,12.7%,12.3%,11.2%,12.5%,13.0%
20,Atlanta,13.0%,10.1%,8.5%,13.2%,12.8%
21,Detroit,13.0%,14.2%,13.5%,12.7%,13.4%
22,Minnesota,13.1%,15.5%,18.4%,12.8%,13.3%
23,Toronto,13.2%,9.3%,11.2%,13.2%,13.1%
24,LA Clippers,13.2%,10.2%,14.1%,12.9%,13.4%
25,Memphis,13.2%,15.6%,18.9%,13.2%,13.3%
26,Washington,13.5%,13.5%,10.1%,13.6%,13.4%
27,Charlotte,13.6%,15.9%,15.3%,12.8%,14.5%
28,Brooklyn,13.6%,14.4%,18.0%,14.1%,13.2%
29,Portland,13.7%,14.8%,13.1%,14.2%,13.2%
30,Utah,14.8%,14.5%,12.8%,14.8%,14.8%
