Rank,Team,2025,Last 3,Last 1,Home,Away
1,Orlando,16.9%,17.0%,16.9%,17.3%,16.4%
2,LA Lakers,16.1%,17.3%,19.8%,16.5%,15.8%
3,Philadelphia,16.0%,17.4%,17.6%,15.4%,16.6%
4,Dallas,15.6%,16.1%,11.3%,15.6%,15.5%
5,Utah,15.5%,12.3%,8.6%,14.5%,16.4%
6,Brooklyn,15.5%,14.8%,16.2%,15.0%,15.9%
7,Detroit,15.3%,21.8%,24.8%,15.9%,14.7%
8,Portland,15.2%,14.0%,9.2%,15.8%,14.7%
9,Atlanta,15.2%,13.2%,8.8%,15.4%,15.1%
10,LA Clippers,15.1%,14.1%,14.9%,14.6%,15.6%
11,Minnesota,15.1%,12.9%,12.8%,14.9%,15.3%
12,Memphis,15.1%,19.3%,25.2%,15.1%,15.1%
13,Denver,15.1%,17.7%,18.3%,15.7%,14.5%
14,New Orleans,15.1%,16.2%,23.0%,15.6%,14.5%
15,Indiana,15.0%,20.5%,24.2%,15.6%,14.5%
16,Golden State,15.0%,20.8%,19.1%,14.6%,15.3%
17,Milwaukee,15.0%,14.5%,14.4%,15.3%,14.6%
18,New York,14.9%,19.1%,15.7%,14.7%,15.2%
19,Houston,14.9%,23.9%,16.9%,14.6%,15.2%
20,Washington,14.8%,14.5%,9.2%,16.3%,13.4%
21,Okla City,14.8%,22.0%,21.4%,14.3%,15.4%
22,Phoenix,14.8%,8.0%,3.1%,14.0%,15.6%
23,Charlotte,14.7%,11.2%,12.8%,14.7%,14.8%
24,Sacramento,14.7%,9.5%,10.4%,15.0%,14.4%
25,Cleveland,14.4%,26.2%,24.8%,13.8%,15.1%
26,San Antonio,14.3%,15.7%,22.4%,14.5%,14.0%
27,Toronto,14.2%,9.2%,10.2%,14.6%,13.8%
28,Miami,14.2%,9.9%,10.8%,13.2%,15.0%
29,Chicago,13.6%,14.8%,15.6%,13.2%,14.0%
30,Boston,13.6%,13.4%,8.6%,13.2%,13.9%
